Site,Hole,Core,Core Type,Section,Interval (cm),Ca,Cl,Rh,Fe,Al,K,P,S,Ba,Ti,Si,Cr,Ar,Mn,Br,Cu,Nb,Zr,Y,Ga,Sr,Zn,Mo,Bi,Rb,Pb,Ni,ln(Al/Fe),predicted_ln(Al/Fe),predicted_Al/Fe,ln(Ba/Fe),predicted_ln(Ba/Fe),predicted_Ba/Fe,ln(Br/Fe),predicted_ln(Br/Fe),predicted_Br/Fe,ln(Ca/Fe),predicted_ln(Ca/Fe),predicted_Ca/Fe,ln(Cl/Fe),predicted_ln(Cl/Fe),predicted_Cl/Fe,ln(Cu/Fe),predicted_ln(Cu/Fe),predicted_Cu/Fe,ln(Fe/Fe),predicted_ln(Fe/Fe),predicted_Fe/Fe,ln(K/Fe),predicted_ln(K/Fe),predicted_K/Fe,ln(Mn/Fe),predicted_ln(Mn/Fe),predicted_Mn/Fe,ln(Nb/Fe),predicted_ln(Nb/Fe),predicted_Nb/Fe,ln(Ni/Fe),predicted_ln(Ni/Fe),predicted_Ni/Fe,ln(Rb/Fe),predicted_ln(Rb/Fe),predicted_Rb/Fe,ln(Si/Fe),predicted_ln(Si/Fe),predicted_Si/Fe,ln(Sr/Fe),predicted_ln(Sr/Fe),predicted_Sr/Fe,ln(Ti/Fe),predicted_ln(Ti/Fe),predicted_Ti/Fe,ln(Y/Fe),predicted_ln(Y/Fe),predicted_Y/Fe,ln(Zn/Fe),predicted_ln(Zn/Fe),predicted_Zn/Fe,ln(Zr/Fe),predicted_ln(Zr/Fe),predicted_Zr/Fe
U1456,A,3,H,4,10,759630,101310,39270,418173,8742,47764,-2039,-1528,-5332,30233,123498,771,-18988,301,945,78,298,4901,190,64,47765,349,433,3,1752,140,660,-3.8677562260588383,0.23094143687869567,1.2597854603201544,-4.3621688201834985,-5.245695787883948,0.005270153509667465,-6.092465573988355,-6.731099662900846,0.0011932200965481634,0.5969362501290577,1.1075787210147425,3.0270202536495705,-1.417710099434375,-1.1840597218415434,0.3060338011543152,-8.586941674792506,-7.1845504148867585,0.0007582098111679002,0.0,0.0,1.0,-2.1696230048288228,-0.9456666820052066,0.38842053158406176,-7.236540236733222,-4.198213063382214,0.015022396921576713,-7.246557014976694,-7.64580947248918,0.0004780431906773529,-6.451410666461627,-6.702756081197498,0.001227524080224109,-5.475137229985761,-6.124041770937373,0.002189588240347805,-1.2196702608950427,1.1101048687278643,3.0346766204260702,-2.1696020687779893,-3.2682824423635832,0.038071761395899566,-2.626961179466084,-2.6702668211455554,0.06923374981619242,-7.696626429321612,-6.415478095580502,0.001636037538812353,-7.088578579279671,-5.511397992894878,0.004040454905830749,-4.44645595657255,-5.962933955487996,0.0025723537183500785
U1456,A,3,H,4,12,797777,110043,54349,383907,6447,35386,-2530,-1277,-5706,27700,100355,860,-32366,987,768,32,166,5473,38,60,50771,285,283,64,1877,102,723,-4.086785429427115,0.20314215292991789,1.2252466282666075,-4.20888208296429,-5.297720064872545,0.005002987400478298,-6.214365881590063,-6.81991491621825,0.0010918138139759262,0.7314287740196147,1.2121312872311183,3.360639513392186,-1.2495291372573258,-1.0564365050517968,0.34769260620909065,-9.39241971193801,-7.424076791388722,0.0005967115116757943,0.0,0.0,1.0,-2.3840840740647873,-0.9513639859618023,0.3862138737218021,-5.9634855753042535,-4.03125827255699,0.0177519790667626,-7.746167826381192,-7.627047225355396,0.00048709702470310423,-6.274746392578971,-6.6331572962644945,0.0013160015131567745,-5.320725578151227,-6.092862416312684,0.0022589336432643358,-1.3416864361441418,1.0840647555075904,2.9566733128297567,-2.0230750103190096,-3.1440397262792543,0.04310829994514087,-2.6289679225623055,-2.670596118575856,0.06921095507361893,-9.220569455011349,-6.626453751979999,0.0013248530226746644,-7.205666434469085,-5.484482388626436,0.004150682964060756,-4.250573423593817,-5.932933268084545,0.0026506953741025473
U1456,A,3,H,4,14,722826,83975,46740,324779,7422,34454,-2381,-1176,-5013,26147,116109,1618,-27320,412,643,66,241,4663,-128,76,40985,256,480,27,1437,170,651,-3.7786963883864675,0.24224495110334204,1.2741062483267664,-4.171110412743507,-5.310539463794695,0.004939261446112988,-6.224755505769391,-6.827484684675067,0.0010835802386518038,0.8000235782692727,1.2654559078564824,3.544708428198993,-1.352625815526517,-1.1346708637493075,0.32152793041814437,-8.501245487980585,-7.159066793781659,0.0007777800438221552,0.0,0.0,1.0,-2.243519850000696,-0.9476298018846213,0.3876587634826323,-6.669876880657484,-4.12389798096796,0.016181316885277935,-7.206103296516355,-7.6473286603168,0.0004773175046472604,-6.212390587798441,-6.608591558377235,0.0013487304203581888,-5.420587343927985,-6.113026862270025,0.0022138396732957325,-1.0286155459456545,1.150878859540086,3.1609697377000407,-2.0699388049198792,-3.1837763127395644,0.04142891082596682,-2.519410489848446,-2.6526182413224366,0.07046647308736577,-7.838869966087393,-6.435170382648888,0.0016041353622811584,-7.145722785527448,-5.498261952106435,0.00409388061921286,-4.24348593319869,-5.931847772708383,0.002653574253897421
U1456,A,3,H,4,16,812491,96801,60748,390546,7605,35538,-2049,-1942,-4685,27113,109114,1205,-37771,856,978,99,42,4801,-25,120,58192,307,129,33,1676,109,642,-3.9387398343261433,0.2219321657331776,1.2484866848128686,-4.423179844347014,-5.224989140472557,0.005380418388394709,-5.9897913689847195,-6.656292341196979,0.0012859052406844302,0.7325590771820666,1.2130099687579292,3.363593742974279,-1.3948884352297157,-1.1667416249500064,0.31137988253833226,-8.280181188884946,-7.093328526449164,0.0008306279919561767,0.0,0.0,1.0,-2.3969432135145166,-0.9517055977346353,0.38608196104845127,-6.123030662877794,-4.05218181773543,0.01738440363148399,-9.137631420736168,-7.574792583864433,0.0005132268622881085,-6.410712735329575,-6.686722694854998,0.0012473640741714745,-5.451135757977508,-6.1191953076143735,0.0022002257557900014,-1.27515255279124,1.0982641012251317,2.998955619501705,-1.9037978717927664,-3.0429026679562288,0.04769624201441983,-2.6675324423762596,-2.676924381171814,0.0687743528990476,-9.656425214151335,-6.686793904682519,0.0012472752527534134,-7.1484532914323395,-5.497634276278999,0.004096451055733991,-4.398721530488596,-5.955623116825912,0.0025912286932452205
U1456,A,3,H,4,18,830456,93832,56877,386181,7189,37533,-3199,-995,-5359,29443,113501,957,-36595,599,930,45,315,4948,-75,65,60453,260,203,51,1641,144,649,-3.9837540914753578,0.21621893618665788,1.2413741309698665,-4.277528780964379,-5.27442193161003,0.005120916092547781,-6.028876864311927,-6.684769612803747,0.0012498026591592284,0.7656687760403103,1.2387489755230765,3.4512931107332596,-1.4148002222578882,-1.1818515772280325,0.3067103146888605,-9.057398960688909,-7.324451099688867,0.0006592214109528604,0.0,0.0,1.0,-2.3310856254737193,-0.9499560461808106,0.3867580225731046,-6.468799852343779,-4.0975277282058435,0.01661369824862961,-7.111488811633596,-7.650881786684934,0.00047562454466699267,-6.388628733755139,-6.67802246564476,0.0012582637737141634,-5.461000359369138,-6.1211872033124415,0.0021958474975367704,-1.2244945240217604,1.1090752973799045,3.031553812180156,-1.8544399678561452,-3.001051284943364,0.04973475547521079,-2.5738499806341775,-2.6615515145731954,0.06983978020531709,-8.546573336922918,-6.533145294231021,0.00145442405642587,-7.303379819443702,-5.462020496251243,0.004244970127902498,-4.35732271694685,-5.949282618543329,0.00260771057076569
U1456,A,3,H,4,20,688385,65105,70043,350326,6050,25386,-5433,5615,-4655,27385,104940,1018,-45658,498,599,20,189,4549,-23,85,39000,236,94,18,1078,144,553,-4.058805877501714,0.20669333010982105,1.2296054309923605,-4.3209222388154345,-5.2596945435026825,0.005196891900682285,-6.371357830411152,-6.934297561985609,0.0009738068674858523,0.6754841248983456,1.1686407164357993,3.2176160121030293,-1.682862798363773,-1.3852694184671872,0.2502563670214804,-9.77088715497261,-7.536622299861309,0.0005331955583550131,0.0,0.0,1.0,-2.624666308578479,-0.957755216414325,0.38375336307171937,-6.5560193515019485,-4.1089661319751585,0.01642474677175336,-7.52487241346696,-7.635357692486797,0.0004830657947923416,-6.451261427004267,-6.702697286713089,0.0012275962539911945,-5.783756677057659,-6.1863593167314,0.0020573031245322807,-1.2054753912858989,1.1131342704527956,3.0438838141174114,-2.195302503414818,-3.2900742659176014,0.037251082807639106,-2.54886873130878,-2.657452204988404,0.07012666269404122,-9.631125212597452,-6.683291356132632,0.0012516515545119612,-7.302787623500992,-5.462156627463294,0.004244392294305352,-4.343956720956598,-5.947235529089044,0.0026130542552088745
U1456,A,3,H,4,22,901939,90576,56773,431137,8554,45011,-3143,-1320,-4765,27777,120755,1139,-33318,949,983,74,129,5203,-177,75,67446,271,384,51,1745,129,838,-3.9200268952197526,0.22430722029090278,1.2514554328776735,-4.505128367918304,-5.197176475356054,0.005532162586893185,-6.08357206385944,-6.724619947053355,0.0012009769276075776,0.7381209852568553,1.2173337166173415,3.378168560432193,-1.5602366277301656,-1.2922152097369852,0.27466167547039105,-8.670116090802436,-7.209284132711179,0.0007396864833333619,0.0,0.0,1.0,-2.259519000681381,-0.9480548301883595,0.38749403254609516,-6.118772385396679,-4.051623365810563,0.017394114696483734,-8.114368779644934,-7.613219907926839,0.0004938790504365512,-6.243163083524523,-6.620714713018643,0.0013324782656440103,-5.509671349370079,-6.131015024199949,0.00217437279922511,-1.2726622054815748,1.0987955793325965,3.000549922389741,-1.8550986273167547,-3.0016097731927114,0.049706986953612,-2.7422175648904497,-2.689179870662185,0.06793663335663244,-7.798031451432777,-6.429516672313005,0.001613230364988071,-7.372062363126906,-5.446232076838003,0.004312523372893292,-4.417190522716303,-5.95845176343393,0.002583909379747422
U1456,A,3,H,4,24,778220,110840,41360,359809,5955,35106,-2631,-883,-5226,26540,98059,1328,-19265,677,863,74,152,4857,-117,71,61238,280,106,13,1602,159,639,-4.101342132292936,0.20129460972516755,1.2229850220353393,-4.2319271680017785,-5.289898749676164,0.005042270765393975,-6.032913922998909,-6.6877109703523505,0.0012461319437631231,0.77143592545411,1.2432322750666014,3.466801028906693,-1.177485615105422,-1.0017666665226885,0.36723009463662193,-8.489263520878167,-7.155503695806228,0.0007805562934090754,0.0,0.0,1.0,-2.3272012790660455,-0.9498528558804168,0.38679793430885023,-6.275657341170062,-4.07219804792623,0.01703989281285384,-7.76944809323606,-7.62617296461063,0.0004875230607168396,-6.333424159704802,-6.65627403178088,0.0012859287850740869,-5.414320486454032,-6.111761435929193,0.0022166428975955665,-1.300003996767169,1.092960423958578,2.983092231090471,-1.7708054232372206,-2.93013617144001,0.05338976748865972,-2.6069203061961383,-2.6669782048392623,0.06946180784692588,-8.031154679284581,-6.461790402491168,0.0015619966027684618,-7.1585390109130875,-5.4953158186228475,0.004105959522276541,-4.305152371736592,-5.941292389937529,0.0026286302395327086
U1456,A,3,H,4,26,751609,62270,62558,295961,8042,28550,-1688,-1408,-4698,27234,117344,876,-40137,793,610,36,250,5058,-97,19,53104,157,161,16,1015,187,507,-3.6055498804115373,0.2642207829372423,1.3024157157272633,-4.1430908026498985,-5.320049092501435,0.004892513533616052,-6.1845240107013995,-6.798172449980168,0.0011158124887424847,0.9319885530354945,1.3680435935014872,3.927659076216197,-1.5587479200022591,-1.2910855119005848,0.2749721355009066,-9.014464029412647,-7.311683466010847,0.0006676920684986373,0.0,0.0,1.0,-2.3385707527846002,-0.9501548936713871,0.3866811243566177,-5.922159746233909,-4.025838595494283,0.017848450245709864,-7.07652205000651,-7.652194918843286,0.0004750003966661806,-6.369471964277573,-6.670475450905574,0.0012677958330127544,-5.675339076392869,-6.164467245903042,0.0021028383619741166,-0.9251178969977041,1.1729668367376558,3.231565958874069,-1.717975433909001,-2.8853407498033867,0.05583576027022537,-2.385761496184236,-2.6306870483068647,0.07202895786122024,-8.023271989365375,-6.460699117809351,0.0015637021161651779,-7.541737162520449,-5.407228033699489,0.004484052642795154,-4.069256540638846,-5.905163404974337,0.002725336410821156
U1456,A,3,H,4,28,793528,106760,45145,430034,8787,46921,-2003,-1469,-4809,27118,115931,1205,-25972,675,1061,77,352,4923,134,62,50152,381,175,26,1904,124,722,-3.8905909188154943,0.22804324751370014,1.2561396491743393,-4.493375113033675,-5.201165434862453,0.0055101389692137435,-6.004652415697355,-6.667119940030094,0.00127205708105211,0.6126245507191759,1.1197745817125868,3.0641634069693118,-1.3932809507928772,-1.1655217940481424,0.31175994510017274,-8.627814132457654,-7.1967047272724285,0.0007490500702073022,0.0,0.0,1.0,-2.215398938898067,-0.946882750782718,0.3879484725893346,-6.456906863438808,-4.095968021827888,0.01663963095819851,-7.107988378713241,-7.651013240981014,0.0004755620258865465,-6.389594415418512,-6.678402906290318,0.0012577851700777212,-5.419907338960027,-6.1128895532276655,0.0022141436743717807,-1.3108690887891568,1.0906416475682867,2.97618312069169,-2.1488058813575335,-3.2506490111291773,0.038749051103695455,-2.7636665612890834,-2.6926995535801916,0.06769793826064238,-8.073779754360427,-6.467691445405245,0.0015528063365304542,-7.0288201791846365,-5.5251349722431735,0.003985330746794581,-4.4699461745531375,-5.966531635566755,0.002563115840051464
U1456,A,3,H,4,30,910092,96703,56808,385067,6949,36064,-2540,-1716,-4142,21928,103724,418,-32463,669,1224,146,113,4393,-1,132,56087,362,2,27,1532,140,769,-4.014819580788856,0.21227609046036633,1.2364892208347806,-4.532238582147655,-5.1879754882395295,0.005583298834802915,-5.751293161030913,-6.482525111467135,0.0015299425222089732,0.8601283481807983,1.3121804971073205,3.7142638303030324,-1.381772919358124,-1.1567889864127898,0.3144944071166048,-7.877566002394848,-6.97360216235562,0.0009362742124657519,0.0,0.0,1.0,-2.368122207263681,-0.9509399481296467,0.38637767774266,-6.355388563974955,-4.082654401474073,0.016862645961996492,-8.133784805390844,-7.612490763830904,0.0004942392907478709,-6.21608165459754,-6.610045693719248,0.0013467706090478796,-5.526843273802648,-6.134482440778363,0.0021668463990565942,-1.3116838198259086,1.0904677715358855,2.975665678765643,-1.9265132885009808,-3.062163445443317,0.0467863658991685,-2.8656529861205624,-2.7094350628169237,0.06657440645091776,-12.861172624103183,-7.130461205238695,0.0008003501766635742,-6.969528412277413,-5.538764684153686,0.003931380336314254,-4.4734049801274045,-5.967061374197581,0.002561758418146861
