Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF), Sample_ID ,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Rh,Ni,Cu,Zn,Ga,Br,Rb,Sr,Y,Zr,Nb,Mo,Pb,Bi,Al/Ca,ln(Al/Ca),ln(Al/Ca) predicted,Si/Ca,ln(Si/Ca),ln(Si/Ca) predicted,K/Ca,ln(K/Ca),ln(K/Ca) predicted,Ti/Ca,ln(Ti/Ca),ln(Ti/Ca) predicted,Mn/Ca,ln(Mn/Ca),ln(Mn/Ca) predicted,Fe/Ca,ln(Fe/Ca),ln(Fe/Ca) predicted,Ni/Ca,ln(Ni/Ca),ln(Ni/Ca) predicted,Zn/Ca,ln(Zn/Ca),ln(Zn/Ca) predicted,Br/Ca,ln(Br/Ca),ln(Br/Ca) predicted,Rb/Ca,ln(Rb/Ca),ln(Rb/Ca) predicted,Sr/Ca,ln(Sr/Ca),ln(Sr/Ca) predicted,Zr/Ca,ln(Zr/Ca),ln(Zr/Ca) predicted,Cl/Ca,ln(Cl/Ca),Cu/Ca,ln(Cu/Ca),ln(Cu/Ca) predicted
U1456,C,3,H,4,46,13.76,14.74,460,414,37808,-6844,-4153,111874,-52289,-2519,1696425,3847,-77,-188,139265,101112,594,89,169,49,1058,467,142175,-931,5435,71,97,56,32,0.000244043,-8.31816768,0.97740589,0.022286868,-3.803757654,-1.732936176,-0.001484887,#NUM!,#NUM!,0.00226771,-6.088984751,-5.389177167,-0.000110821,#NUM!,#NUM!,0.082093225,-2.499899782,-2.67647216,0.000350148,-7.957154334,-8.863317237,9.96E-05,-9.214134939,-8.127858909,0.000623664,-7.379898041,-8.330779873,0.000275285,-8.197704396,-8.793062577,0.083808597,-2.479219681,-4.100612641,0.003203796,-5.743418854,-8.057006559,0.065946918,-2.718905137,5.25E-05,-9.855397284,-9.045149786
U1456,C,3,H,4,48,13.78,14.76,480,-171,35278,-6239,-3814,116773,-45813,-5595,1764974,4450,-642,-8,115356,103951,576,63,114,61,1047,480,164352,-1200,5736,12,-73,76,21,-9.69E-05,#NUM!,0.977257961,0.01998783,-3.912631698,-1.82612147,-0.003170018,#NUM!,#NUM!,0.002521284,-5.982987142,-5.333337627,-4.53E-06,#NUM!,#NUM!,0.06535847,-2.72786824,-2.853535262,0.00032635,-8.027538857,-8.925220424,6.46E-05,-9.647448069,-8.430701455,0.00059321,-7.429962306,-8.359321511,0.000271959,-8.209860413,-8.800991948,0.093118652,-2.373880769,-4.017542375,0.003249906,-5.729129135,-8.044047213,0.066161315,-2.715659359,3.57E-05,-10.24051179,-9.305217612
U1456,C,3,H,4,50,13.8,14.78,500,2184,62292,-5729,-3657,107493,-42262,9973,1535283,9248,-443,-127,206889,85625,683,85,212,70,1061,812,123627,-903,5535,171,-39,69,45,0.001422539,-6.55531195,0.97791724,0.040573627,-3.204637001,-1.220148809,0.006495871,-5.036588566,-3.130541691,0.006023645,-5.112062696,-4.874534628,-8.27E-05,#NUM!,#NUM!,0.134756263,-2.00428759,-2.291530171,0.000444869,-7.717730427,-8.652743911,0.000138085,-8.887639012,-7.899670906,0.000691078,-7.277258148,-8.27226487,0.000528893,-7.544724947,-8.367124083,0.080523916,-2.51920104,-4.13214194,0.003605199,-5.625378442,-7.949955709,0.070015105,-2.659044279,5.54E-05,-9.80157403,-9.008802943
U1456,C,3,H,4,52,13.82,14.8,520,-228,28588,-6827,-294,161983,-23059,477,1287855,5355,304,395,140788,73558,512,45,174,84,949,413,134400,-779,5599,-82,105,139,34,-0.000177039,#NUM!,0.977223183,0.022198151,-3.807746273,-1.736350035,0.000370383,-7.900972111,-4.425529491,0.004158077,-5.482702619,-5.06978774,0.000306712,-8.089602837,-6.151981625,0.10931976,-2.21347811,-2.454008448,0.00039756,-7.830163977,-8.751629217,0.000135108,-8.909433302,-7.914902935,0.000736884,-7.213079803,-8.235676796,0.000320688,-8.045041009,-8.69348025,0.104359575,-2.259912895,-3.927667309,0.004347539,-5.438145312,-7.780153984,0.125777358,-2.073241931,3.49E-05,-10.26182611,-9.319611173
U1456,C,3,H,4,54,13.84,14.82,540,-293,21927,-5904,445,146150,-38910,-4825,1009933,5598,50,573,133666,90218,520,12,127,32,861,466,114836,-1221,4797,-6,-17,111,15,-0.000290118,#NUM!,0.977174118,0.021711341,-3.829920517,-1.75532897,-0.004777545,#NUM!,#NUM!,0.005542942,-5.19522988,-4.918347101,0.000567364,-7.474508833,-5.903606667,0.132351354,-2.02229512,-2.30551662,0.000514886,-7.571565738,-8.524192067,0.000125751,-8.981207464,-7.965065896,0.000852532,-7.067300046,-8.152567756,0.000461417,-7.681208916,-8.456152576,0.113706553,-2.174134247,-3.860022268,0.00474982,-5.349648548,-7.699896269,0.14471257,-1.933005779,1.19E-05,-11.3404879,-10.04803148
U1456,C,3,H,4,56,13.86,14.84,560,-144,23920,-6412,-3217,148455,-60286,-7097,1475083,4041,-417,534,127977,107118,657,91,201,91,1282,594,153518,-1196,5384,-77,-95,69,35,-9.76E-05,#NUM!,0.977257642,0.016216037,-4.121754609,-2.00510977,-0.004811255,#NUM!,#NUM!,0.002739507,-5.899977352,-5.289608069,0.000362014,-7.923828978,-6.085042141,0.086759186,-2.444618978,-2.63353556,0.000445399,-7.716540799,-8.651697633,0.000136264,-8.900919909,-7.908952925,0.000869104,-7.04804818,-8.141592267,0.000402689,-7.817345498,-8.544954468,0.104074144,-2.262651714,-3.929827142,0.003649964,-5.613037946,-7.938764113,0.100641794,-2.296187656,6.17E-05,-9.693365311,-8.935729594
U1456,C,3,H,4,58,13.88,14.86,580,-830,23859,-6808,-4175,135582,-64414,-10034,1772817,1571,-513,-196,111368,112186,624,28,99,48,1265,460,169153,-2300,5567,24,-62,81,33,-0.000468181,#NUM!,0.977096856,0.013458242,-4.308163581,-2.164657209,-0.005659919,#NUM!,#NUM!,0.00088616,-7.028612727,-5.884173184,-0.000110559,#NUM!,#NUM!,0.062819795,-2.767485053,-2.88430564,0.000351982,-7.951929996,-8.858722432,5.58E-05,-9.792960515,-8.532400104,0.000713554,-7.245252964,-8.254018715,0.000259474,-8.256853875,-8.831645783,0.095414812,-2.349521455,-3.998332619,0.0031402,-5.763468777,-8.075189834,0.076478283,-2.570748463,1.58E-05,-11.05587585,-9.855832965
U1456,C,3,H,4,60,13.9,14.88,600,-710,18512,-7132,-2991,145829,-59129,-13296,1723279,1186,-673,-326,83744,109827,484,25,138,71,1174,206,172777,-1346,5909,-212,76,59,15,-0.000412005,#NUM!,0.977121231,0.010742312,-4.53356498,-2.357578266,-0.007715524,#NUM!,#NUM!,0.000688223,-7.28139785,-6.017340387,-0.000189174,#NUM!,#NUM!,0.048595729,-3.024219624,-3.083711382,0.00028086,-8.177654523,-9.057247153,8.01E-05,-9.432485744,-8.280464287,0.000681259,-7.291567429,-8.280422591,0.00011954,-9.03186326,-9.337184405,0.100260608,-2.299982405,-3.959266124,0.003428928,-5.675507538,-7.995417786,0.084622977,-2.469549448,1.45E-05,-11.1408636,-9.913225192
U1456,C,3,H,4,62,13.92,14.9,620,2122,60125,-5577,-2539,108842,-29288,8753,1438349,7553,-362,435,171230,73325,584,30,194,65,1115,588,98688,-1042,4934,-70,-14,80,44,0.001475303,-6.518892167,0.977940134,0.041801399,-3.174825479,-1.194633127,0.006085449,-5.101854708,-3.160048514,0.005251159,-5.249306372,-4.946834597,0.00030243,-8.103660455,-6.157658092,0.119046212,-2.128243525,-2.387806746,0.000406021,-7.809105503,-8.73310829,0.000134877,-8.911148327,-7.916101566,0.000775194,-7.162396802,-8.206782417,0.000408802,-7.802279538,-8.535126943,0.068611999,-2.679287849,-4.258386397,0.003430322,-5.675101189,-7.995049268,0.075671482,-2.581353918,2.09E-05,-10.7778091,-9.668054488
U1456,C,3,H,4,64,13.94,14.92,640,911,55593,-6253,-4716,101663,-50261,-317,1789894,5056,-638,78,146828,96729,562,83,252,71,1152,570,138069,-600,5546,-75,-224,74,31,0.000508969,-7.583124061,0.977520842,0.031059381,-3.471854385,-1.448860168,-0.000177105,#NUM!,#NUM!,0.002824748,-5.869336022,-5.273466217,4.36E-05,-10.04095813,-6.939938893,0.082031673,-2.500649846,-2.677054735,0.000313985,-8.066165108,-8.959192213,0.00014079,-8.868237871,-7.886111448,0.000643614,-7.348412117,-8.312829748,0.000318455,-8.052030597,-8.698039559,0.077138088,-2.562158119,-4.166017893,0.003098508,-5.776834732,-8.087311418,0.056798336,-2.868248257,4.64E-05,-9.97882635,-9.128501434
U1456,C,3,H,4,66,13.96,14.94,660,80,44351,-6468,-4027,113195,-30983,-1426,1748396,4984,-794,68,131585,82443,650,60,145,70,1026,387,148168,-1369,5711,-44,-62,107,45,4.58E-05,-9.992182719,0.977319854,0.025366679,-3.674318819,-1.622149477,-0.000815605,#NUM!,#NUM!,0.002850613,-5.860221294,-5.268664578,3.89E-05,-10.15470165,-6.985868526,0.07526041,-2.586801045,-2.743968371,0.000371769,-7.897236991,-8.810619934,8.29E-05,-9.397475612,-8.255995705,0.000586824,-7.440786328,-8.365492286,0.000221346,-8.415784661,-8.935316334,0.084745104,-2.46810731,-4.091849425,0.003266422,-5.724059935,-8.039449956,0.064742198,-2.73734208,3.43E-05,-10.27986479,-9.331792694
U1456,C,3,H,4,68,13.98,14.96,680,250,41237,-6976,-2430,112409,-45487,-2030,1501875,5979,-123,371,151234,96396,612,69,211,53,1006,528,136350,-795,5085,24,-121,85,42,0.000166459,-8.700763968,0.977372226,0.027457012,-3.595133695,-1.554374929,-0.001351644,#NUM!,#NUM!,0.003981024,-5.526216277,-5.092710735,0.000247025,-8.306022823,-6.239372016,0.100696796,-2.2956413,-2.517824598,0.000407491,-7.805492603,-8.729930744,0.000140491,-8.870366752,-7.887599323,0.000669829,-7.308487535,-8.290068744,0.000351561,-7.953128602,-8.633525787,0.090786517,-2.399244497,-4.03754421,0.003385768,-5.688174577,-8.006905524,0.074845776,-2.592325601,4.59E-05,-9.988118381,-9.134776343
U1456,C,3,H,4,70,14,14.98,700,2407,69504,-5891,-3716,90000,-42194,7956,1652516,6330,-594,-28,176059,87175,536,71,212,30,1083,665,127700,-491,5421,104,-35,82,41,0.001456567,-6.531673095,0.977932004,0.042059502,-3.168669949,-1.189364609,0.004814477,-5.336127893,-3.26596342,0.003830523,-5.564754018,-5.113012417,-1.69E-05,#NUM!,#NUM!,0.106539967,-2.239235088,-2.474013893,0.000324354,-8.033675372,-8.93061749,0.000128289,-8.961223258,-7.951098935,0.000655364,-7.330319286,-8.302515025,0.000402417,-7.818022492,-8.545396072,0.077276105,-2.560370491,-4.164608169,0.003280452,-5.719773954,-8.035562999,0.054462408,-2.910244584,4.30E-05,-10.05512966,-9.180029057
U1456,C,3,H,4,72,14.02,15,720,1849,64471,-6023,-4336,79541,-71212,-168,1641886,7118,-722,464,175869,116202,619,67,238,60,1106,709,127835,-788,5026,96,-78,96,38,0.001126144,-6.788955908,0.977788634,0.039266429,-3.23738535,-1.248178121,-0.000102321,#NUM!,#NUM!,0.004335258,-5.440974073,-5.047805142,0.000282602,-8.171471587,-6.185040227,0.107114014,-2.23386146,-2.469840196,0.000377005,-7.883250866,-8.798319137,0.000144955,-8.839085465,-7.865736832,0.000673616,-7.302850957,-8.286855331,0.00043182,-7.747500613,-8.49939465,0.077858633,-2.55286049,-4.158685783,0.003061114,-5.788976421,-8.098322716,0.048444898,-3.027328248,4.08E-05,-10.10666352,-9.214829875
U1456,C,3,H,4,74,14.04,15.02,740,2857,73252,-5767,-4078,84040,-51818,5983,1624963,8484,-159,-181,188176,96417,604,48,190,29,1030,731,129261,-943,4985,173,38,60,40,0.001758194,-6.343468202,0.97806288,0.04507918,-3.099334774,-1.130020633,0.00368193,-5.604318211,-3.387212263,0.005221042,-5.255058289,-4.949864706,-0.000111387,#NUM!,#NUM!,0.115803252,-2.15586263,-2.409258505,0.000371701,-7.897421406,-8.810782127,0.000116926,-9.053971532,-8.015920704,0.000633861,-7.363681523,-8.321534836,0.000449856,-7.706582145,-8.472703533,0.079547042,-2.531406709,-4.141767331,0.003067762,-5.786806922,-8.096355197,0.051718101,-2.961947449,2.95E-05,-10.42979459,-9.433040289
U1456,C,3,H,4,76,14.06,15.04,760,1399,60287,-5989,-3053,100953,-48757,874,1602623,8059,-461,-55,151835,90476,636,45,179,81,869,563,140994,-1165,5815,-98,-76,110,45,0.000872944,-7.043639245,0.97767877,0.037617705,-3.280280449,-1.284892036,0.000545356,-7.514071844,-4.250611881,0.005028631,-5.292607462,-4.969645611,-3.43E-05,#NUM!,#NUM!,0.094741558,-2.356602536,-2.56517319,0.000396849,-7.831953657,-8.753203241,0.000111692,-9.099766414,-8.047926747,0.000542236,-7.519809095,-8.410543165,0.000351299,-7.953872592,-8.634011092,0.087977023,-2.430679605,-4.062333936,0.003628427,-5.618956155,-7.944131337,0.062992357,-2.764741879,2.81E-05,-10.48048973,-9.467274715
U1456,C,3,H,4,78,14.08,15.06,780,1333,51494,-6515,-1258,111828,-25116,10231,1348427,6129,-81,595,170983,62585,643,81,264,68,1050,763,89614,-241,4175,19,112,113,16,0.000988559,-6.919261966,0.977728936,0.0381882,-3.265228711,-1.272009254,0.007587359,-4.88127168,-3.060322927,0.004545296,-5.393662402,-5.022881354,0.000441255,-7.72588788,-6.005113526,0.126801822,-2.065129871,-2.33878637,0.000476852,-7.648304562,-8.591683862,0.000195784,-8.538500183,-7.655657778,0.000778685,-7.157903843,-8.204220981,0.000565844,-7.477191255,-8.323071855,0.066458177,-2.711182449,-4.283538479,0.0030962,-5.777579649,-8.087986983,0.082932187,-2.48973203,6.01E-05,-9.720000131,-8.953716089
U1456,C,3,H,4,80,14.1,15.08,800,1458,58286,-6600,-3694,99850,-38507,5279,1575589,6524,-548,487,158534,84148,639,145,256,49,1036,723,105639,-379,4181,-35,177,89,28,0.000925368,-6.985318816,0.977701517,0.03699315,-3.297022522,-1.299221577,0.003350493,-5.698647764,-3.429858654,0.004140674,-5.486896765,-5.071997216,0.000309091,-8.081875606,-6.14886137,0.10061888,-2.296415368,-2.518425817,0.000405563,-7.810235274,-8.734101924,0.000162479,-8.724962284,-7.78597614,0.000657532,-7.327017306,-8.300632566,0.000458876,-7.686730506,-8.459754309,0.067047307,-2.702356828,-4.276578595,0.002653611,-5.931833997,-8.227880252,0.063373126,-2.75871539,9.20E-05,-9.293405986,-8.665637062
