Site,Hole,Core,Type,Section,Interval,Rh,Ca,Ti,Mn,Cl,Cr,Ar,Si,K,Fe,P,S,Al,Ba,Br,Pb,Ga,Sr,Cu,Y,Ni,Nb,Zr,Rb,Zn,Bi,Mo,ln(Al/Ca),predicted_ln(Al/Ca),predicted_Al/Ca,ln(Ba/Ca),ln(Br/Ca),predicted_ln(Br/Ca),predicted_Br/Ca,ln(Cl/Ca),predicted_ln(Cl/Ca),predicted_Cl/Ca,ln(Cu/Ca),predicted_ln(Cu/Ca),predicted_Cu/Ca,ln(Fe/Ca),predicted_ln(Fe/Ca),predicted_Fe/Ca,ln(K/Ca),predicted_ln(K/Ca),predicted_K/Ca,ln(Mn/Ca),predicted_ln(Mn/Ca),predicted_Mn/Ca,ln(Nb/Ca),predicted_ln(Nb/Ca),predicted_Nb/Ca,ln(Ni/Ca),predicted_ln(Ni/Ca),predicted_Ni/Ca,ln(Rb/Ca),predicted_ln(Rb/Ca),predicted_Rb/Ca,ln(Si/Ca),predicted_ln(Si/Ca),predicted_Si/Ca,ln(Sr/Ca),predicted_ln(Sr/Ca),predicted_Sr/Ca,ln(Ti/Ca),predicted_ln(Ti/Ca),predicted_Ti/Ca,ln(Y/Ca),predicted_ln(Y/Ca),predicted_Y/Ca,ln(Zn/Ca),predicted_ln(Zn/Ca),predicted_Zn/Ca,ln(Zr/Ca),predicted_ln(Zr/Ca),predicted_Zr/Ca
U1456,C,4,H,5,16,47620,572840,25807,864,107582,1453,-31523,96684,47123,412826,-1558,-1047,6041,-4533,934,194,87,14385,215,439,700,280,3894,2172,436,43,29,-4.552036884453898,-0.9370064621563543,0.3917989465747673,,-6.418885286363796,-7.768959700109864,0.00042265272376802607,-1.6723530981220756,-2.389406448145002,0.09168408699028026,-7.887723696464976,-7.523095400783705,0.0005404570428218944,-0.3275802489304649,-0.9735449115048792,0.3777416013224125,-2.497845241061245,-1.938751189782338,0.1438835208402554,-6.496788955788583,-5.496072433556858,0.004102854066948631,-7.623572121423389,-8.69112757393319,0.00016807040752698425,-6.707281389549234,-7.756256305341555,0.0004280560960893281,-5.574958043538813,-7.040708361457894,0.0008755061677270295,-1.7791585170274427,0.02479937010704414,1.0251094322958456,-3.6844204486069905,-5.056170319011172,0.0063699075744350405,-3.099960672653499,-3.750254576296483,0.023511759557384656,-7.173862311517468,-7.352675366645,0.0006408754878441111,-7.180719481243605,-6.801489276546474,0.0011121176631719478,-4.991169538660494,-7.3483536509934675,0.000643651162989813
U1456,C,4,H,5,18,41993,552779,26410,891,96346,1446,-27336,111987,51954,428298,-787,-1193,7801,-4254,820,147,109,11881,122,367,710,209,3684,2206,516,31,273,-4.26070635270313,-0.8031571342602004,0.44791260923822246,,-6.513409222033144,-7.823138593305602,0.0004003631317514211,-1.7470124046194848,-2.4026451114888125,0.09047831126857993,-8.418692517558187,-7.947548098943623,0.0003535279182996932,-0.25513906832297845,-0.9189243837228258,0.39894792526792305,-2.3645995716155865,-1.8777312298514253,0.15293669064585277,-6.4303691348206335,-5.473256791283088,0.004197539363204103,-7.8803793103266315,-8.78777889422481,0.00015258650234705492,-6.657448592256082,-7.715213878674006,0.00044599006647313483,-5.523777362477995,-7.006651975396813,0.0009058362793257109,-1.596575490179592,0.17201566854313755,1.1876964425410592,-3.8400177978331556,-5.173341243795346,0.005665606984619941,-3.041215557000265,-3.7152480602474154,0.024349400247555313,-7.317351714236873,-7.399432750353258,0.0006115995924030522,-6.97660679680988,-6.701457653672545,0.0012291189664754491,-5.010959164916246,-7.36481401376216,0.0006331431514469144
U1456,C,4,H,5,20,54159,522420,27039,811,95342,1611,-36148,105578,49201,433546,-1015,-1389,7234,-4287,890,177,63,12526,110,417,792,448,3863,2245,435,39,288,-4.279679728538673,-0.8118742899535869,0.44402505411562104,,-6.375005678324531,-7.743808942467415,0.0004334175644953303,-1.7010014349579081,-2.3944864000561927,0.0912195172324163,-8.4657467752583,-7.985162937795375,0.0003404770151800714,-0.18647395844412368,-0.8671510068901442,0.4201468412055936,-2.3625579135736188,-1.8767962509329223,0.15307975009583544,-6.467959086935304,-5.486169185325076,0.0041436875073551874,-7.061433908635731,-8.479562622483297,0.00020766951283293652,-6.49166574923629,-7.578674680656467,0.000511238328270578,-5.449766340874362,-6.95740394132878,0.0009515636859303974,-1.599021845834155,0.1700431772861979,1.1853560306720474,-3.7306653779653582,-5.090994569979758,0.006151898350107465,-2.9611915938261966,-3.667561369702807,0.025538673453009485,-7.133140919251915,-7.3394059144958534,0.0006494362270099397,-7.090881109962032,-6.757461253003605,0.0011621759024043423,-4.907027778384435,-7.2783672914613975,0.00069031172194124
U1456,C,4,H,5,22,37411,560347,27734,561,103365,1812,-22454,108510,52356,439411,-1324,-1083,8097,-4360,989,136,99,13643,154,347,662,213,3672,2109,403,34,217,-4.237062611982994,-0.7922942192566726,0.4528047692934803,,-6.339617182046396,-7.7235250900586685,0.00044229870982663653,-1.6902898212096902,-2.392587005929266,0.09139294369817469,-8.199358911255478,-7.772214374449871,0.00042127936292671227,-0.24312104091235,-0.909862811360767,0.4025794495722611,-2.3704896907574984,-1.880428614580873,0.1525247174268564,-6.906590608146412,-5.636841977454116,0.0035641061799825927,-7.875019347959683,-8.785761632006835,0.00015289462000578179,-6.7410459577321005,-7.784064895043125,0.00041631644780514113,-5.582342333190334,-7.045621977571368,0.0008712148181700629,-1.6417139000548548,0.13562066658786343,1.1452473805908019,-3.715329665106234,-5.079446174927628,0.006223354711571719,-3.0058971373552987,-3.694201632635844,0.024867298979449032,-7.3869867337222495,-7.422123982346024,0.000597877913821336,-7.237374951722425,-6.829255011304239,0.0010816636446996887,-5.027819761928727,-7.378838105967618,0.0006243258652404422
U1456,C,4,H,5,24,34767,580650,26013,657,104906,2000,-18725,106117,50792,435391,-817,-996,7245,-4333,1239,121,102,17167,149,404,652,425,3460,2180,464,20,173,-4.383836589919121,-0.8597282715042494,0.423277083137628,,-6.149843563044762,-7.61475132220346,0.0004931232958421775,-1.711083454594429,-2.3962741539217904,0.0910565848727392,-8.267957138728445,-7.827051309469784,0.0003987996851103589,-0.2879036877526408,-0.9436288514139739,0.38921287388107223,-2.436409303823618,-1.9106165536312776,0.14798911523512168,-6.784219426189293,-5.594806677276189,0.003717117869391558,-7.219814275749487,-8.539170266861131,0.00019565253220608754,-6.791858882747251,-7.8259145575541345,0.00039925327917948733,-5.584823288890769,-7.047272842377838,0.0008697777468195069,-1.6996059067049796,0.08894246722176824,1.0930177701683654,-3.5211592294029748,-4.933228198655888,0.0072032123073690274,-3.105551752628634,-3.753586329561495,0.0234335545279876,-7.2704885667127535,-7.38416194896281,0.0006210108844046043,-7.132018892447649,-6.777622073262705,0.0011389800918827314,-5.122879576622134,-7.457905745465026,0.0005768630053025065
U1456,C,4,H,5,26,44048,515789,32063,634,109449,1488,-23449,106292,44911,403584,-685,-747,6324,-4860,1213,142,86,19267,232,284,784,189,3869,2246,368,33,265,-4.401345847777229,-0.8677727506811626,0.41988569870603426,,-6.052601137162541,-7.559014254458029,0.0005213889474835142,-1.5502390797893724,-2.367753067553761,0.09369100731019704,-7.706715674440281,-7.378398875705665,0.000624600148286073,-0.2453131226419132,-0.9115156372811353,0.40191460541018614,-2.4410150135169744,-1.9127257420357582,0.14767730725576003,-6.701404091669366,-5.566359069022306,0.003824379416104594,-7.911706031046949,-8.799568941578844,0.00015079806386281464,-6.489044025756184,-7.576515422105479,0.0005123434166589015,-5.436546910808203,-6.948607536034649,0.0009599709484086233,-1.5795077433104174,0.18577735581551447,1.2041541326153429,-3.287303979225831,-4.757125995982357,0.008590262402768847,-2.7779950497731494,-3.55839360846488,0.028484545314234777,-7.504478807945385,-7.460409889827798,0.0005754202642295696,-7.24537010793766,-6.833173280536547,0.001077433687787784,-4.892701691406078,-7.26645132166631,0.0006985866596095427
U1456,C,4,H,5,28,42965,706453,18606,843,98718,1094,-24907,92790,39456,323747,-1751,-1180,6151,-3430,793,115,72,14626,92,490,596,375,3415,1712,361,18,136,-4.743642004561607,-1.0250378002854417,0.3587829030534758,,-6.792188732135127,-7.982928441199901,0.00034123866054140543,-1.96798937415527,-2.4418289700546727,0.08700158256813424,-8.946223376720935,-8.369252514794702,0.00023188882243617266,-0.7802943282262903,-1.3148905623921439,0.2685037060347048,-2.885070547805904,-2.116081325914311,0.12050291615180803,-6.731044995768119,-5.576540913157578,0.003785637746491449,-7.541085927799564,-8.660083273523918,0.0001733698691824259,-7.077771286704626,-8.061392786956596,0.0003154870928518564,-6.022594397068287,-7.338572245931391,0.0006499778673199007,-2.02991779942275,-0.1773872952695288,0.8374553791999197,-3.8774559079390785,-5.201533613428241,0.005508110627569638,-3.636772565441471,-4.070143539510701,0.017074937403413735,-7.273606562665303,-7.385177977536288,0.0006203802400322115,-7.579133995437094,-6.996744414863186,0.0009148555126195744,-5.332079181765085,-7.631911123192636,0.00048473358695741203
U1456,C,4,H,5,30,58322,844584,16780,1167,106935,400,-36485,82752,33870,309865,-3039,-1677,5421,-3242,858,141,68,17535,133,317,542,430,3294,1828,330,38,96,-5.0485638981634455,-1.1651315634559443,0.3118816271086498,,-6.891995377935821,-8.04013525939647,0.0003222653577531539,-2.066623025203945,-2.45931878829521,0.08549317008343861,-8.75625034920203,-8.217389428103493,0.0002699187883488777,-1.0027074796840614,-1.4825897028039687,0.2270489370983849,-3.216314531611966,-2.2677747708366995,0.10354232933158698,-6.584407845137227,-5.526170094265222,0.003981207577533236,-7.5828142687361755,-8.675788049010643,0.00017066840279619816,-7.351333475984137,-8.286699346138281,0.0002518443434204315,-6.135621725409688,-7.413782310542942,0.0006028860743319974,-2.322996015292254,-0.41369562489601086,0.6612021741212512,-3.8746453148495053,-5.199417126269976,0.005519780818527438,-3.918656497402586,-4.2381196219210135,0.014434709050295967,-7.887697703546503,-7.585285404021102,0.00050786981951619,-7.847506822963258,-7.128268673373557,0.0008021068950559636,-5.546741566686198,-7.8104602621672745,0.0004054713817288598
U1456,C,4,H,5,32,45521,863469,15675,1512,119039,390,-22660,81967,35590,298709,-2994,-1869,4912,-2985,930,120,86,17542,87,337,579,227,3504,1515,362,35,423,-5.16927680569213,-1.2205920791938811,0.2950554190221758,,-6.833528689371806,-8.006623530829655,0.0003332480231921238,-1.9815068260251085,-2.444225898220315,0.0867932957484155,-9.202805156864525,-8.574362164465644,0.00018888689438207714,-1.0614881412030384,-1.5269102222739808,0.2172057490665119,-3.18889329701487,-2.25521719471935,0.10485076822983724,-6.3475247187796295,-5.444799193336792,0.004318707145737921,-8.243763258037706,-8.924541180627504,0.0001330825187207335,-7.307410797946113,-8.250524509678403,0.0002611215605909883,-6.345542557575639,-7.553466753077259,0.0005242893910585961,-2.354641269297425,-0.4392111245464432,0.6445446860594535,-3.8963599910077815,-5.215769131619089,0.005430255288856372,-4.008890910017987,-4.2918907717140495,0.013679036894512069,-7.848630345166747,-7.572554934511779,0.0005143765698857802,-7.777069063693337,-7.093748509225399,0.0008302792157512221,-5.507052823462826,-7.777448465842908,0.0004190801088085213
U1456,C,4,H,5,34,52343,968063,15576,1274,102878,625,-27789,95305,35891,299248,-3285,-2517,5823,-3280,928,118,51,19498,217,313,617,389,3611,1734,316,29,187,-5.113481574948438,-1.1949574363365958,0.30271683864556287,,-6.950020713999358,-8.073394015107091,0.0003117234893763716,-2.241753347627491,-2.490373073268226,0.08287904085211295,-8.403155093245099,-7.935127592484191,0.00035794629653884105,-1.1740245067627775,-1.6117624517655553,0.19953563206357558,-3.294810600117609,-2.3037221076235204,0.09988636315267396,-6.63313561065345,-5.542908399948923,0.003915123518595074,-7.8194731031671125,-8.764856384301849,0.0001561245636650644,-7.358183422880171,-8.292340980933599,0.0002504275299395677,-6.324866289445072,-7.53970845687717,0.0005315525697062775,-2.3182148926223856,-0.4098406160598749,0.6637560337579324,-3.904985271596342,-5.222264307199591,0.0053950991236364565,-4.129565899733523,-4.363801617700533,0.012729901326489861,-8.036849256245405,-7.633887853038625,0.00048377634602378016,-8.027310233198646,-7.216386797800815,0.0007344513516727676,-5.591312425508101,-7.847532842297862,0.0003907147349834778
U1456,C,4,H,5,36,53433,961578,14242,1743,111108,130,-26567,80722,32887,294565,-3033,-2000,4371,-2567,925,88,105,20341,96,125,590,514,3173,1650,345,31,430,-5.393583869102274,-1.3236480462405917,0.2661625554227645,,-6.946537226453164,-8.071397362107218,0.0003123465147923681,-2.1580729837295416,-2.47553478694995,0.08411799302149164,-9.211982772497752,-8.581698685111391,0.00018750619274771806,-1.1830759931723522,-1.6185872572250617,0.19817847662122953,-3.3754982420773487,-2.340673077210649,0.09626282410734593,-6.312967918445568,-5.432928706740201,0.004370277779725673,-7.534107698510423,-8.65745696435799,0.00017382579049205285,-7.396208427065824,-8.323658477253185,0.00024270630251022155,-6.367800397070963,-7.568277450376061,0.0005165815199607618,-2.4775645322381057,-0.538323884775211,0.5837258246250167,-3.8559371313631017,-5.185329128170807,0.005598093821687958,-4.212380339423519,-4.413151167528899,0.012116935612903149,-8.948017226663287,-7.930800583930775,0.00035949848897880236,-7.932786546934229,-7.170062593289527,0.000769274578293686,-5.713898172382393,-7.949495650374421,0.00035284007451956434
U1456,C,4,H,5,38,59698,950328,14447,879,104118,235,-33234,69242,33824,296653,-2626,-1914,3950,-3157,980,110,38,30179,238,213,644,279,3344,1381,357,12,182,-5.4830916092498425,-1.3647716139911386,0.25543900802226366,,-6.877009895480392,-8.031545933870719,0.00032504532173303853,-2.211282316826451,-2.484969919429289,0.08332806103001605,-8.292291793473535,-7.846504259351243,0.00039111682425250674,-1.1642440825816633,-1.6043880284579153,0.20101253122610405,-3.3356365784750457,-2.322418396770291,0.0980362082343581,-6.985777569459833,-5.664043215815564,0.003468464757872096,-8.133350685323645,-8.882986577054357,0.0001387292207304303,-7.2968637410406565,-8.24183792507722,0.0002633996953985879,-6.533999313735718,-7.678868680339226,0.00046249783581612614,-2.6191995732344786,-0.6525239110553418,0.5207298410046127,-3.449660869898307,-4.879387121379332,0.0076016715021434925,-4.186320407615629,-4.397621920357857,0.012306571138478667,-8.403270301435585,-7.753289628250144,0.00042932788586546217,-7.886826685365371,-7.147538566659097,0.0007867983514907136,-5.649639492940418,-7.896047386067526,0.0003722118464542178
U1456,C,4,H,5,40,68073,1165000,14282,390,87903,226,-39279,86357,29091,293332,-2645,-3144,4635,-3432,983,86,42,46498,101,207,640,239,3989,1309,304,21,213,-5.526840166981983,-1.3848715156859002,0.25035596453970377,,-7.077622524834771,-8.14653236712216,0.0002897383258084838,-2.584242432198242,-2.55110358232699,0.07799554398460068,-9.353111128140679,-8.694515688596038,0.00016750192929338264,-1.3791712926605346,-1.7664427817182315,0.1709399794061814,-3.690047518009282,-2.484721167430136,0.08334879163006505,-8.002084905858245,-6.013151423118062,0.0024463664837457402,-8.491768093050428,-9.017879668716777,0.00012122288661281563,-7.50676346862822,-8.414711908577939,0.00022158331293244834,-6.791212879072038,-7.850022410607716,0.00038974323377216055,-2.6019864992613537,-0.638645046854335,0.5280073648179371,-3.2210670650841675,-4.707246994036458,0.009029601943950282,-4.401476362872883,-4.5258344588304205,0.010825677084473071,-8.63551285171657,-7.828968067431518,0.0003980360147582084,-8.251203943575716,-7.326112713475378,0.0006581269491063184,-5.676935793076531,-7.918751554235076,0.00036385629791090587
