Site,Hole,Core,Core Type,Section,Interval (cm),Depth (CSF-A),Depth (CCSF), Sample_ID ,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ni_Area,Cu_Area,Zn_Area,Ga_Area,Br_Area,Rb_Area,Sr_Area,Y_Area,Zr_Area,Nb_Area,Mo_Area,Pb_Area,Bi_Area,Al/Ca,ln(Al/Ca),ln(Al/Ca) predicted,Si/Ca,ln(Si/Ca),ln(Si/Ca) predicted,K/Ca,ln(K/Ca),ln(K/Ca) predicted,Ti/Ca,ln(Ti/Ca),ln(Ti/Ca) predicted,Mn/Ca,ln(Mn/Ca),ln(Mn/Ca) predicted,Fe/Ca,ln(Fe/Ca),ln(Fe/Ca) predicted,Ni/Ca,ln(Ni/Ca),ln(Ni/Ca) predicted,Zn/Ca,ln(Zn/Ca),ln(Zn/Ca) predicted,Br/Ca,ln(Br/Ca),ln(Br/Ca) predicted,Rb/Ca,ln(Rb/Ca),ln(Rb/Ca) predicted,Sr/Ca,ln(Sr/Ca),ln(Sr/Ca) predicted,Zr/Ca,ln(Zr/Ca),ln(Zr/Ca) predicted,Cl/Ca,ln(Cl/Ca),Cu/Ca,ln(Cu/Ca),ln(Cu/Ca) predicted
U1456,A,4,H,4,16,28.16,31.12,160,-176,35492,-6513,-4393,96086,-52470,-5936,1748883,3261,-501,263,126574,102166,529,69,191,73,957,221,141946,-706,5247,-114,-139,95,31,-0.000100636,#NUM!,#NUM!,0.020294096,-3.897425258,-1.813106279,-0.003394166,#NUM!,#NUM!,0.001864619,-6.284698681,-5.492279265,0.000150382,-8.802333824,-6.439782398,0.072374195,-2.62590546,-2.774340771,0.000302479,-8.103499425,-8.992027744,0.000109213,-9.122214428,-8.063615664,0.000547206,-7.510684465,-8.405341213,0.000126366,-8.976325155,-9.300956899,0.081163806,-2.511285874,-4.12590004,0.003000201,-5.809076093,-8.116551108,0.054941354,-2.901488954,3.94538E-05,-10.14038135,-9.237599527
U1456,A,4,H,4,18,28.18,31.14,180,194,36582,-5296,-3738,103332,-31856,-439,1720929,4253,-370,-374,130345,78172,649,54,151,57,1092,225,145030,-1223,4789,-115,-311,60,40,0.00011273,-9.09051666,-2.967075179,0.021257123,-3.851063224,-1.773425014,-0.000255095,#NUM!,#NUM!,0.00247134,-6.002994924,-5.343877726,-0.000217324,#NUM!,#NUM!,0.075741068,-2.580434759,-2.739023677,0.000377122,-7.882942103,-8.798047579,8.77433E-05,-9.341094982,-8.216591283,0.000634541,-7.362608663,-8.320923199,0.000130743,-8.942274417,-9.278745602,0.08427425,-2.473678923,-4.096243198,0.002782799,-5.884297919,-8.184769783,0.060044313,-2.812672435,3.13784E-05,-10.36939077,-9.392249589
U1456,A,4,H,4,20,28.2,31.16,200,-303,30191,-5990,-3385,107431,-34130,-3235,1629421,3701,-230,11,117445,73625,611,58,98,24,1128,270,140403,-1746,4921,288,31,84,18,-0.000185956,#NUM!,#NUM!,0.018528668,-3.988436149,-1.8910025,-0.001985368,#NUM!,#NUM!,0.002271359,-6.087376963,-5.388330184,6.75086E-06,-11.90584002,-7.692978201,0.07207775,-2.630009877,-2.777528672,0.00037498,-7.888638336,-8.803057416,6.01441E-05,-9.718767816,-8.480546827,0.00069227,-7.275533863,-8.271281855,0.000165703,-8.705313336,-9.124175889,0.086167418,-2.451463157,-4.078723846,0.003020091,-5.802468254,-8.11055846,0.065932009,-2.719131235,3.55955E-05,-10.24329228,-9.30709528
U1456,A,4,H,4,22,28.22,31.18,220,196,35312,-5724,-3682,74132,-57909,-8472,1581688,4734,-317,50,109601,101284,522,21,88,69,955,275,130783,-2119,4367,-257,226,64,33,0.000123918,-8.99588853,-2.926016033,0.022325516,-3.802025061,-1.731453249,-0.005356303,#NUM!,#NUM!,0.002993005,-5.811477399,-5.242986294,3.16118E-05,-10.36198018,-7.069567598,0.069293691,-2.669401412,-2.808124076,0.000330027,-8.016335601,-8.915367161,5.56368E-05,-9.796666375,-8.534990129,0.000603785,-7.412291849,-8.349247583,0.000173865,-8.657232091,-9.092812493,0.082685713,-2.492708449,-4.111249883,0.002760974,-5.892171636,-8.191910456,0.046868915,-3.060400622,1.3277E-05,-11.22948075,-9.973068351
U1456,A,4,H,4,24,28.24,31.2,240,971,46139,-5319,-2576,93925,-38309,196,1324328,7937,-141,184,165189,74177,595,55,192,46,905,487,103358,-510,4653,146,-149,82,10,0.000733202,-7.218089251,-2.154628926,0.034839556,-3.357001861,-1.350557892,0.000148,-8.81830106,-4.840253909,0.005993228,-5.11712507,-4.877201487,0.000138938,-8.881479961,-6.471741608,0.124734205,-2.081570167,-2.351555549,0.000449284,-7.707854313,-8.644057869,0.000144979,-8.838920347,-7.86562143,0.000683365,-7.288480775,-8.27866289,0.000367734,-7.908151596,-8.604187286,0.07804562,-2.55046175,-4.156794136,0.00351348,-5.651148267,-7.973326363,0.070922762,-2.646163848,4.15305E-05,-10.08908253,-9.202957435
U1456,A,4,H,4,26,28.26,31.22,260,2951,66167,-4221,-2653,96994,-24520,16586,1268796,11717,78,92,251311,48477,618,53,206,51,875,694,94491,-446,5059,221,149,76,16,0.002325827,-6.063679602,-1.653730579,0.052149439,-2.953641849,-1.005322059,0.013072235,-4.337264732,-2.814377385,0.009234739,-4.68478292,-4.649443642,7.25097E-05,-9.5317904,-6.734336964,0.198070454,-1.619132482,-1.992380199,0.000487076,-7.62709052,-8.573026112,0.000162359,-8.725702808,-7.786493693,0.00068963,-7.279355091,-8.273460337,0.000546975,-7.511107017,-8.345195107,0.074472965,-2.597319106,-4.193745847,0.003987245,-5.524654863,-7.858609495,0.076445701,-2.571174577,4.17719E-05,-10.08328706,-9.199043754
U1456,A,4,H,4,28,28.28,31.24,280,2635,61439,-4254,-2893,84117,-38003,10553,1306519,9993,-73,215,250478,63523,642,99,171,48,906,664,99417,-92,4794,185,189,64,15,0.00201681,-6.206238446,-1.715586862,0.047024957,-3.057076815,-1.093852046,0.008077188,-4.818711448,-3.032039446,0.007648568,-4.87323678,-4.748721136,0.000164559,-8.712238878,-6.403402059,0.191714013,-1.651750535,-2.017714641,0.000491382,-7.618288603,-8.565284826,0.000130882,-8.94121335,-7.93711401,0.000693446,-7.2738376,-8.270314816,0.000508221,-7.584594757,-8.39313116,0.076093038,-2.575798502,-4.176774699,0.003669292,-5.607756492,-7.933974362,0.064382531,-2.742912941,7.57739E-05,-9.487757056,-8.79688234
U1456,A,4,H,4,30,28.3,31.26,300,2748,66321,-4496,-2537,71998,-39224,10966,1329473,10414,-241,314,230058,67942,634,56,152,60,894,599,99767,-690,4556,107,196,101,22,0.002066984,-6.181664528,-1.704924239,0.04988518,-2.998031313,-1.043315001,0.008248381,-4.797738325,-3.022557497,0.007833179,-4.849386847,-4.736156991,0.000236184,-8.350900195,-6.257493499,0.173044507,-1.754206451,-2.097292151,0.000476881,-7.648244227,-8.591630797,0.000114331,-9.07641266,-8.031604808,0.000672447,-7.304587406,-8.28784528,0.000450554,-7.705031583,-8.471692102,0.075042517,-2.589700435,-4.187737763,0.003426922,-5.676092857,-7.995948612,0.054155293,-2.915899561,4.2122E-05,-10.07494149,-9.193407988
U1456,A,4,H,4,32,28.32,31.28,320,2000,67403,-5047,-2463,76503,-23823,13527,1317729,12636,192,645,216618,52540,549,56,195,63,855,565,94354,-551,4579,45,-78,107,48,0.001517763,-6.490517899,-1.838935716,0.051150882,-2.972975552,-1.021869775,0.010265388,-4.578977391,-2.923655679,0.009589225,-4.647115196,-4.629600285,0.000489478,-7.622170042,-5.963232263,0.164387366,-1.805529646,-2.137154876,0.000416626,-7.783321917,-8.710431626,0.000147982,-8.8184208,-7.851294297,0.000648844,-7.340318889,-8.308215799,0.000428768,-7.754594627,-8.504022075,0.071603494,-2.636611413,-4.22473176,0.003474918,-5.662184446,-7.983335074,0.058056702,-2.846335124,4.24974E-05,-10.06606867,-9.187416171
U1456,A,4,H,4,34,28.34,31.3,340,2533,61099,-4789,-3087,69458,-40674,7350,1362982,10158,-99,-82,191461,70215,680,88,216,58,820,564,96975,-412,4523,117,310,71,21,0.001858425,-6.288025854,-1.751074418,0.044827445,-3.104934726,-1.134813632,0.005392588,-5.222729912,-3.214696193,0.007452776,-4.899168653,-4.762382046,-6.01622E-05,#NUM!,#NUM!,0.140472141,-1.962746093,-2.25926489,0.000498906,-7.603092706,-8.551920035,0.000158476,-8.749907097,-7.80341007,0.000601622,-7.415881164,-8.351293852,0.000413799,-7.790131253,-8.527202616,0.071149142,-2.642977012,-4.229751672,0.003318459,-5.708254735,-8.025116219,0.050960321,-2.976707972,6.45643E-05,-9.64784869,-8.90499222
