 Spectrum , Sample , Throughput , Mg-Ka Area , Mg-Ka AreaStd , Al-Ka Area , Al-Ka AreaStd , Si-Ka Area , Si-Ka AreaStd , P -Ka Area , P -Ka AreaStd , S -Ka Area , S -Ka AreaStd , Cl-Ka Area , Cl-Ka AreaStd , Ar-Ka Area , Ar-Ka AreaStd , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Cr-Ka Area , Cr-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Rh-La-Coh Area , Rh-La-Coh AreaStd 
374-U1524A-1H-1-A_SHLF9353571 X 480.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,480,1.61E+05,221,39,7848,103,102559,323,362,59,2642,96,58106,305,-4990,156,62636,287,25849,215,20815,203,997,163,4188,184,223573,493,42543,210
374-U1524A-1H-1-A_SHLF9353571 X 500.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,500,1.60E+05,231,42,9408,112,122468,352,453,59,1782,89,43858,276,-3811,155,64790,289,26606,216,20615,200,1071,161,3037,179,225192,493,40439,201
374-U1524A-1H-1-A_SHLF9353571 X 520.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,520,1.62E+05,211,43,9690,115,129358,363,499,61,1411,87,39789,329,-3385,181,64968,292,25313,214,20560,203,1203,162,4816,185,228091,505,40823,271
374-U1524A-1H-1-A_SHLF9353571 X 540.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,540,1.63E+05,264,43,9642,113,119276,348,499,59,2071,91,47732,285,-4316,156,64554,290,25305,214,20751,202,1108,161,5469,187,230437,499,41648,205
374-U1524A-1H-1-A_SHLF9353571 X 560.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,560,1.68E+05,283,43,9542,113,123910,354,589,60,2333,93,51012,291,-5341,154,65589,292,26006,216,20801,205,989,164,8554,199,237108,507,41990,206
374-U1524A-1H-1-A_SHLF9353571 X 580.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,580,1.70E+05,234,44,10229,117,141926,379,466,61,2027,92,46204,282,-4891,153,66113,293,25330,216,20737,204,1211,165,6853,194,231460,502,40987,202
374-U1524A-1H-1-A_SHLF9353571 X 600.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,600,1.70E+05,202,43,8793,110,126123,358,445,60,2346,95,55420,372,-5008,183,63638,292,26342,219,21000,207,1158,168,2171,183,235598,516,42044,289
374-U1524A-1H-1-A_SHLF9353571 X 620.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,620,1.68E+05,199,40,8446,107,113900,340,507,59,2716,98,60129,387,-5313,184,61960,289,26163,219,19835,205,1279,168,2302,184,233422,514,43983,298
374-U1524A-1H-1-A_SHLF9353571 X 640.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,640,1.65E+05,212,40,7914,104,110278,335,410,59,2765,98,62721,314,-5497,158,59152,282,26346,216,19358,202,1180,166,1820,181,223512,495,43829,214
374-U1524A-1H-1-A_SHLF9353571 X 660.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,660,1.66E+05,186,41,6837,99,102289,323,421,58,3268,100,65721,404,-5342,187,59337,284,26589,220,19349,204,740,168,1654,184,229616,511,45269,307
374-U1524A-1H-1-A_SHLF9353571 X 670.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,670,1.66E+05,144,41,7339,102,108653,333,431,59,2962,99,62562,393,-5012,186,61708,289,26854,220,19952,205,732,168,1767,183,225456,507,43712,300
374-U1524A-1H-1-A_SHLF9353571 X 680.0mm   6s  10kV 160uA No-Filter DC10.0mm CC12.0mm Y  0.0mm Run1 Rep0 Sett Low.spe,680,1.65E+05,205,40,7309,102,107581,331,499,59,2842,98,63821,396,-5025,186,60983,287,26186,218,20524,206,1004,168,2161,185,219380,501,44017,301
