Site,Hole,Core,Core Type,Section,Interval (cm),Ar,Ba,Cr,S,Mn,Ca,Si,K,P,Ti,Al,Fe,Rh,Cl,Zn,Rb,Cu,Zr,Mo,Ni,Br,Ga,Pb,Nb,Y,Sr,Bi,ln(Al/Al),predicted_ln(Al/Al),predicted_Al/Al,ln(Ba/Al),predicted_ln(Ba/Al),predicted_Ba/Al
U1456,A,2,H,1,80,-20755,-4452,1433,-759,923,541958,111046,48601,-1555,27065,8192,379332,39474,113327,472,2212,97,4378,354,672,1248,102,116,284,496,14374,29,0.0,0.0,1.0,-0.6098046348838536,-5.469463058699778,0.0042134939496378185
U1456,A,2,H,1,82,-18704,-3845,1119,-681,351,548819,126715,53440,-1309,25150,9007,407524,41614,99455,443,2118,124,3915,392,660,1341,61,129,338,403,13583,55,0.0,0.0,1.0,-0.8512284498439985,-5.5338001058589255,0.003950946510514907
U1456,A,2,H,1,84,-11359,-3951,1655,-828,969,565322,118232,52613,-1483,26903,9027,389626,36900,114237,440,2204,152,4233,137,736,1425,75,90,632,445,15475,45,0.0,0.0,1.0,-0.8262513748867641,-5.527143963631671,0.0039773322887508
U1456,A,2,H,1,86,-26615,-4030,919,-1167,796,559844,122323,51056,-1364,24421,9363,393285,53102,99753,410,2278,160,3712,609,770,1659,77,168,515,246,12923,32,0.0,0.0,1.0,-0.8429993759981604,-5.531607139468335,0.003959620310623448
U1456,A,2,H,1,88,-24741,-3469,1257,-722,687,590898,93199,38060,-2102,21272,6474,355264,52433,117954,442,1872,99,3734,545,757,1772,68,162,421,142,14563,53,0.0,0.0,1.0,-0.6239277875164401,-5.473226738505386,0.004197665512817045
U1456,A,2,H,1,90,-30868,-3510,785,-329,896,723509,99279,34673,-3335,18488,7222,333231,62571,101405,407,1621,144,3115,453,776,1971,70,155,338,271,16262,51,0.0,0.0,1.0,-0.7215158853774916,-5.499232996650609,0.004089907208264804
U1456,A,2,H,1,92,-22721,-3906,686,-382,1113,615919,88914,39042,-2770,20537,5907,315975,49417,116956,496,1834,158,3456,185,694,1690,53,176,168,476,15089,40,0.0,0.0,1.0,-0.413624255870611,-5.417182937542889,0.004439635779517928
U1456,A,2,H,1,94,-17908,-3856,858,-1679,875,643789,99172,40925,-2146,19961,6975,333531,51751,107787,369,1978,159,3529,338,692,1757,68,151,570,454,15553,18,0.0,0.0,1.0,-0.5927019509591301,-5.464905363418578,0.004232741600274074
U1456,A,2,H,1,96,-20520,-4028,1101,-1147,596,684091,102735,40366,-2347,21283,6783,357180,54308,106192,486,1561,106,3796,200,715,1610,100,114,203,357,24347,30,0.0,0.0,1.0,-0.5211495071076266,-5.445837348296762,0.004314225984966023
U1456,A,2,H,1,98,-13536,-3780,607,-1101,509,816201,89798,29868,-3134,20650,5284,280592,44604,105637,305,1426,81,4823,84,566,1214,73,148,185,16,57877,17,0.0,0.0,1.0,-0.33495937702858264,-5.396219529187074,0.004533688061147074
U1456,A,2,H,1,100,-16128,-3403,977,-255,756,532930,105242,27220,-2090,18945,5052,221491,43281,91541,203,1367,40,2879,209,553,535,47,137,316,-15,29920,27,0.0,0.0,1.0,-0.395126808969476,-5.41225355179112,0.004461574484618949
U1456,A,2,H,1,102,-1062,-3153,1208,2118,666,360286,34546,20569,-2390,18132,1433,251985,22999,143346,260,1241,135,3699,229,588,1206,60,89,307,136,14410,40,0.0,0.0,1.0,0.788584231716889,-5.096806324432812,0.0061162487212643
U1456,A,2,H,1,104,-32981,-4092,1270,-1583,840,718287,106818,39738,-2153,24995,7746,349345,61549,98906,397,1865,109,3645,365,651,1671,72,143,201,243,22393,55,0.0,0.0,1.0,-0.6381427330031805,-5.477014880194291,0.004181794241383763
U1456,A,2,H,1,106,-45530,-4752,1189,-1917,623,670871,113876,40827,-1617,27438,9238,385038,64943,91658,419,1801,58,4284,157,655,1174,112,88,216,138,35272,31,0.0,0.0,1.0,-0.6647598299480697,-5.484108071980966,0.004152236924602776
U1456,A,2,H,1,108,-34508,-5883,1152,-1805,1313,636888,136128,37859,-1206,41192,9083,350146,67576,79331,347,1701,91,7149,515,577,949,115,173,220,443,29669,3,0.0,0.0,1.0,-0.43433769863775756,-5.4227028641680155,0.004415196828434793
