Site,Hole,Core,Core Type,Section,Interval (cm),Ca,Al,Ti,Fe,P,Ar,Mn,K,Cl,S,Si,Ba,Rh,Cr,Zn,Ga,Ni,Sr,Mo,Y,Cu,Nb,Zr,Br,Bi,Pb,Rb,Al/K,ln(Al/K),predicted_ln(Al/K),predicted_Al/K,Ba/K,ln(Ba/K),predicted_ln(Ba/K),predicted_Ba/K,Br/K,ln(Br/K),predicted_ln(Br/K),predicted_Br/K,Ca/K,ln(Ca/K),predicted_ln(Ca/K),predicted_Ca/K
U1456,C,3,H,3,12,927461,1266,11962,220911,-3477,-39213,1325,18107,119870,-1166,44572,-2387,79362,306,314,88,628,38092,46,26,52,166,3638,1215,9,140,1242,-2.660436280116521,-2.660436280116521,0.9695005101105469,2.6366271617835633,-2.0262612564818125,-2.0262612564818125,-4.192715847916981,0.01510520567450185,-2.7015545270459937,-2.7015545270459937,-5.200213698834163,0.005515385663329503,3.9361521412415006,3.9361521412415006,2.7274427584817786,15.293727216503653
U1456,C,3,H,3,14,1093788,663,9329,198628,-3926,-38538,1569,12730,112211,-2477,46485,-2220,86723,805,370,76,593,42105,65,47,82,318,3247,1234,47,82,885,-2.9549417013655894,-2.9549417013655894,0.9265831243708884,2.525863853387134,-1.7464542166851271,-1.7464542166851271,-4.209076506956426,0.0148600851887026,-2.3337004870861193,-2.3337004870861193,-5.07118943247991,0.006274952068497544,4.453440767356133,4.453440767356133,2.980637638493521,19.70037435772359
U1456,C,3,H,3,16,1185404,1139,7820,189937,-4960,-46300,938,12455,104995,-2017,53195,-2129,90362,104,262,38,564,43508,252,-210,111,114,3189,1341,33,135,791,-2.3919714642490986,-2.3919714642490986,1.0086230770610696,2.741823135519538,-1.7664697628028012,-1.7664697628028012,-4.207906173551814,0.014877486623548358,-2.228706544414602,-2.228706544414602,-5.034362960691505,0.006510344141172632,4.555716775022293,4.555716775022293,3.030698204649048,20.711688539424344
U1456,C,3,H,3,18,1357240,775,6779,187470,-5761,-49993,719,7325,99431,-2002,47952,-1620,95990,-167,234,53,481,72665,184,-224,56,107,3588,1229,27,86,704,-2.246185404531921,-2.246185404531921,1.0298680393229207,2.800696228542264,-1.5088670056588382,-1.5088670056588382,-4.222968521090731,0.014655075967738799,-1.7850923243192331,-1.7850923243192331,-4.878765921990062,0.007606395122841303,5.221915350015906,5.221915350015906,3.35677935111934,28.696620152782028
U1456,C,3,H,3,20,1418243,1344,6240,181572,-5574,-50090,198,4689,101383,-3095,47495,-1709,97302,-308,200,38,568,77943,125,-631,56,33,3723,1253,30,61,660,-1.2495690980064913,-1.2495690980064913,1.1751019242550846,3.2384730059657514,-1.0093109359739956,-1.0093109359739956,-4.252178174047061,0.014233197738259054,-1.319678664193518,-1.319678664193518,-4.715522761590034,0.008955183417108638,5.7119547204269026,5.7119547204269026,3.5966366635141154,36.47534903478455
U1456,C,3,H,3,22,1536637,712,5622,158775,-6855,-42654,859,4231,93844,-2677,50901,-1767,94343,-510,175,41,613,86722,180,-875,56,233,3721,1171,-6,109,623,-1.7821157393080915,-1.7821157393080915,1.0974955103148434,2.9966515350348115,-0.8731551784003712,-0.8731551784003712,-4.260139367330611,0.014120334359719128,-1.2845802871223502,-1.2845802871223502,-4.703212057180409,0.009066109420780635,5.894913169541461,5.894913169541461,3.686188492477835,39.89250623022722
U1456,C,3,H,3,24,1643412,839,5666,154419,-6538,-48023,554,2121,97304,-3135,54034,-1620,95857,-257,212,37,665,87758,118,-299,82,56,3698,1224,30,121,602,-0.9274322480974763,-0.9274322480974763,1.2220459546565197,3.394124860240838,-0.26946152633825277,-0.26946152633825277,-4.295438071797955,0.013630599208085287,-0.549763491492411,-0.549763491492411,-4.445476141132626,0.01173151884223388,6.652642171822896,6.652642171822896,4.057070615394548,57.80473052916725
U1456,C,3,H,3,26,1664590,501,4759,140119,-6613,-12461,201,6787,115904,-3726,50822,-1549,71019,-555,139,43,518,110487,185,-875,68,-55,4343,1166,44,85,459,-2.6061581956188937,-2.6061581956188937,0.9774102914643659,2.657565003857289,-1.4773994562868897,-1.4773994562868897,-4.224808467099436,0.014628136210654112,-1.7614299297933207,-1.7614299297933207,-4.870466371727615,0.007669787481628244,5.502325108123092,5.502325108123092,3.494030223212431,32.91834901792613
U1456,C,3,H,3,28,1682898,513,4139,142760,-6799,-54882,-114,-284,95804,-4299,51556,-1390,103916,-705,190,70,629,114627,271,-615,64,171,4504,1044,35,83,492,0.5913016070095635,0.5913016070095635,1.4433664533388975,4.234928535972687,1.5880847879635316,1.5880847879635316,-4.404051071386356,0.01222770412959915,1.301840530281378,1.301840530281378,-3.7960287393479213,0.022459788659669536,8.68705362711451,8.68705362711451,5.052844615271603,156.46692022467124
U1456,C,3,H,3,30,1726502,-219,4426,143121,-7047,-39067,-174,-2724,112077,-3292,42311,-968,100525,-268,134,76,531,132426,-170,-1006,59,-180,5160,1186,60,50,485,-2.5207849374529023,-2.5207849374529023,0.989851478580791,2.690834796066984,-1.034624579992826,-1.034624579992826,-4.250698054393392,0.014254280172379686,-0.8315150877117322,-0.8315150877117322,-4.544300101310698,0.010627608363012709,6.451751286955084,6.451751286955084,3.95874147974043,52.39134886708471
U1456,C,3,H,3,32,1576854,-224,7379,132615,-7099,-54682,220,-9482,131942,-3244,27702,-1653,118749,-326,103,70,564,151045,-95,-2064,16,-183,6601,872,26,56,359,-3.745504491607024,-3.745504491607024,0.8113767961603181,2.2510050292702304,-1.7468034456410395,-1.7468034456410395,-4.209056087113242,0.014860388632409974,-2.386361119553084,-2.386361119553084,-5.08966007227645,0.006160113524673272,5.113791737347526,5.113791737347526,3.303856584690797,27.21740299476011
U1456,C,3,H,3,34,1660476,-602,5279,129909,-6847,-46153,161,-6105,116154,-3393,34293,-1334,105697,-15,142,59,600,151431,-166,-1189,22,16,5831,849,22,94,450,-2.316605941235984,-2.316605941235984,1.0196058671533768,2.7721019721844495,-1.520926160069236,-1.520926160069236,-4.22226340761769,0.014665413103250572,-1.9728042002334578,-1.9728042002334578,-4.944605587848986,0.007121723004295553,5.605751479671812,5.605751479671812,3.5446538526763525,34.62769698287659
U1456,C,3,H,3,36,1740527,-264,3507,122404,-7216,-42469,-55,-3800,123361,-3576,35209,-1088,99818,-33,146,46,513,154051,-197,-838,52,-144,5756,1067,23,69,312,-2.666807242568161,-2.666807242568161,0.9685720889904526,2.6341803974303515,-1.2506599182985894,-1.2506599182985894,-4.238066204554803,0.014435480135029922,-1.2701500944127238,-1.2701500944127238,-4.698150688198535,0.009112112667284573,6.126942153182514,6.126942153182514,3.7997586498453084,44.69039715732343
U1456,C,3,H,3,38,1744405,-141,2958,112556,-6805,-42623,-12,-5783,123056,-3470,32743,-790,92476,-359,206,108,635,162348,-195,-540,88,-143,6077,1071,48,82,384,-3.71391796778005,-3.71391796778005,0.8159798048978405,2.2613903085170595,-1.990644912697151,-1.990644912697151,-4.194798378997385,0.01507378134663564,-1.6863297877104695,-1.6863297877104695,-4.844125106761769,0.007874503792264592,5.709246223103488,5.709246223103488,3.5953109478107472,36.42702513074005
U1456,C,3,H,3,40,1748780,-404,3621,111732,-7304,-40483,131,-3606,114019,-3221,32697,-1378,103609,-603,164,58,523,156088,51,-1178,66,-149,5172,1182,51,87,449,-2.1889395258021125,-2.1889395258021125,1.0382103083685392,2.824158116621157,-0.9619659521896587,-0.9619659521896587,-4.254946493019616,0.014193850195323541,-1.115391205797219,-1.115391205797219,-4.643869234425203,0.009620401930835298,6.184074556162211,6.184074556162211,3.8277229838494766,45.957772412720686
U1456,C,3,H,3,42,1451607,277,4071,148484,-7785,-57349,-127,-1004,123889,-2264,37854,-1087,106863,-182,156,46,620,148980,-132,-1158,39,13,5555,1256,26,108,530,-1.2877297940643362,-1.2877297940643362,1.1695408812499601,3.220513700825655,0.07942958686953487,0.07942958686953487,-4.315838160906623,0.013355350860672787,0.22394004677646948,0.22394004677646948,-4.17410075699461,0.015389023906919513,7.276434476322837,7.276434476322837,4.362395360066415,78.44481312709206
U1456,C,3,H,3,44,1293634,1308,6120,183193,-5727,-57989,544,5325,120661,-1557,49369,-1309,104926,-72,229,49,558,120901,-53,-522,49,60,5014,1371,20,120,710,-1.4039134585604818,-1.4039134585604818,1.1526097866552323,3.1664458839669516,-1.403149224667726,-1.403149224667726,-4.229149968742868,0.014564765794175987,-1.3568723110153114,-1.3568723110153114,-4.728568378799361,0.008839116252211428,5.492797879562579,5.492797879562579,3.489366974553086,32.76519993465918
U1456,C,3,H,3,46,1218567,2072,8755,176999,-5329,-34337,334,13034,117644,-2271,64888,-2170,72518,9,221,53,616,108579,179,-332,45,-27,5281,942,17,125,926,-1.839047003512952,-1.839047003512952,1.0891990890939245,2.971892897702435,-1.7928341603578204,-1.7928341603578204,-4.2063646150567475,0.014900438825974138,-2.627311332315963,-2.627311332315963,-5.174173006898625,0.005660896501047243,4.5378695292814974,4.5378695292814974,3.021962595521467,20.531547291297205
U1456,C,3,H,3,48,738390,465,9120,160239,-4541,-20834,835,9886,161715,1586,37929,-1857,44307,157,160,44,551,63854,163,-699,49,103,4739,699,31,123,1078,-3.056837488279548,-3.056837488279548,0.9117341590320329,2.488634481465811,-1.6721573325141987,-1.6721573325141987,-4.213420736431485,0.014795669588005557,-2.6492241516330943,-2.6492241516330943,-5.181858896216178,0.005617554252327754,4.313352525416938,4.313352525416938,2.912069292277862,18.394823477297066
U1456,C,3,H,3,50,1081101,219,7711,152331,-6042,-40938,1190,6105,130079,-656,40722,-2119,74788,128,173,34,621,66933,235,-1127,64,194,3167,919,48,93,727,-3.327791656728304,-3.327791656728304,0.8722488262467695,2.3922846413932812,-1.058163828276506,-1.058163828276506,-4.249321685823488,0.014273912823378119,-1.893577264189118,-1.893577264189118,-4.916816855938548,0.007322402049943923,5.176627137719443,5.176627137719443,3.3346123385475064,28.06750042653363
U1456,C,3,H,3,52,927464,976,13911,162615,-5192,-36605,750,3576,134101,503,54065,-3143,70750,480,169,59,573,82467,50,165,14,95,10589,785,20,134,610,-1.2985375498803122,-1.2985375498803122,1.167965899630379,3.21544544319523,-0.12906709949583722,-0.12906709949583722,-4.303647105245705,0.013519163180102755,-1.5163164185109963,-1.5163164185109963,-4.784493166240551,0.008358358973075835,5.558209122400866,5.558209122400866,3.5213835141515983,33.8312020472294
U1456,C,3,H,3,54,1796315,360,7138,137843,-6818,-45623,-61,-2217,107236,-4326,49140,-2285,101430,-238,140,73,641,165860,-141,-1721,31,-136,6033,1067,24,60,341,-1.8178061781661556,-1.8178061781661556,1.092294450432167,2.981106232022526,0.030211093711993663,0.030211093711993663,-4.312960295554947,0.013393841120501727,-0.7313039583145581,-0.7313039583145581,-4.509151194281128,0.011007799694860742,6.6973376926039965,6.6973376926039965,4.078947525981647,59.083253525837364
U1456,C,3,H,3,56,1567433,-414,5064,119370,-6635,-53391,143,-6959,117441,-3710,36472,-1152,117164,-424,138,52,579,150313,42,-1178,55,20,6425,979,37,91,388,-2.8219250910195357,-2.8219250910195357,0.9459672333349658,2.575303093326185,-1.7985362235890134,-1.7985362235890134,-4.206031208461922,0.014905407558802635,-1.9612594223143398,-1.9612594223143398,-4.940556273883589,0.007150619562848994,5.417158742509154,5.417158742509154,3.4523442347061257,31.574323243529367
U1456,C,3,H,3,58,1520335,1652,6399,191898,-6102,-28104,544,12149,96405,-3025,68236,-1296,73617,-402,200,73,680,93765,-109,-1118,58,130,4273,1006,43,81,695,-1.995260186773819,-1.995260186773819,1.066434613604162,2.9050035536895087,-2.237964263942522,-2.237964263942522,-4.180337314749243,0.015293348024725577,-2.4912647901950575,-2.4912647901950575,-5.126454881282559,0.0059375726062056615,4.829439122421207,4.829439122421207,3.164675820640246,23.681065875574443
U1456,C,3,H,3,60,1478949,1625,6804,180835,-6674,-38615,179,10717,99574,-3105,65152,-1506,83217,-423,204,45,548,84466,-46,-637,98,107,4206,1115,6,107,705,-1.8863234499491592,-1.8863234499491592,1.0823096353124029,2.9514885470623393,-1.9623741363531582,-1.9623741363531582,-4.19645140578642,0.015048884565449923,-2.2629768608187777,-2.2629768608187777,-5.046383224033615,0.006432556540474629,4.927255713626775,4.927255713626775,3.2125536567710617,24.84244436895229
U1456,C,3,H,3,62,1400097,1407,7881,194949,-6026,-42542,815,9403,102286,-2387,56239,-2314,84115,-240,229,78,618,87682,-171,-345,80,260,4376,1057,14,55,830,-1.899569009162688,-1.899569009162688,1.0803793999649736,2.9457969743458294,-1.402051158523455,-1.402051158523455,-4.229214174010191,0.014563830689514315,-2.185594080406839,-2.185594080406839,-5.019241327013288,0.00660953928653222,5.003268011622551,5.003268011622551,3.2497590459848436,25.78412637985621
U1456,C,3,H,3,64,1405086,1523,6723,184065,-5796,-45267,150,7478,92215,-2672,53066,-1847,96714,-194,285,52,619,88054,113,-107,123,13,4511,1158,8,91,687,-1.591283302641897,-1.591283302641897,1.1253049450658443,3.0811562890793804,-1.3984026753378191,-1.3984026753378191,-4.22942750527396,0.014560724100486068,-1.8652709974041184,-1.8652709974041184,-4.906888474275101,0.007395463744225107,5.2358884133040835,5.2358884133040835,3.363618682015168,28.893558529287777
U1456,C,3,H,3,66,1789312,624,4131,141395,-6430,-64549,-131,-2509,76590,-3949,46907,-1635,119229,-811,215,78,610,142554,57,-1496,66,-259,4684,1063,73,104,492,-1.3914891779969947,-1.3914891779969947,1.154420339544953,3.1721840948118896,-0.42824146303506844,-0.42824146303506844,-4.286154015154889,0.013757735721311204,-0.8587891680244744,-0.8587891680244744,-4.5538664450790645,0.010526425753432015,6.569702200024324,6.569702200024324,4.016474369609196,55.50507009312289
U1456,C,3,H,3,68,1623279,547,5561,147492,-7109,-57643,138,-482,84016,-3186,46955,-1491,115508,-607,248,83,489,119760,39,-702,53,-43,4901,1148,48,69,550,0.12650468837138087,0.12650468837138087,1.3756330019029415,3.9575810865623176,1.129258200714138,1.129258200714138,-4.377222920966431,0.01256019087546457,0.8678324628289115,0.8678324628289115,-3.948256434063439,0.019288302901898587,8.12201462155405,8.12201462155405,4.776277577079792,118.66181744005951
U1456,C,3,H,3,70,1681043,153,3707,125349,-6626,-45219,264,-1146,101466,-3436,37836,-923,101029,-86,167,60,516,149956,-142,-677,75,-83,5976,1123,33,94,398,-2.0135949758822496,-2.0135949758822496,1.0637627401517669,2.8972521118625116,-0.21640366277183276,-0.21640366277183276,-4.298540429822265,0.013588377736180827,-0.020273942536241724,-0.020273942536241724,-4.259758456466811,0.014125713972988759,7.290892094800802,7.290892094800802,4.369471863958021,79.0018969305629
