Site,Hole,Core,Type,Section,Interval,Depth CSF,TotalCPS,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,Y,Zr,Mo,Ag,Ba,Al/Ca,ln(Al/Ca),ln(Al/Ca) predicted,K/Ca,ln(K/Ca),ln(K/Ca) predicted,Ti/Ca,ln(Ti/Ca),ln(Ti/Ca) predicted,Mn/Ca,ln(Mn/Ca),ln(Mn/Ca) predicted,Fe/Ca,ln(Fe/Ca),ln(Fe/Ca) predicted,Sr/Ca,ln(Sr/Ca),ln(Sr/Ca) predicted,Zr/Ca,ln(Zr/Ca),ln(Zr/Ca) predicted,Ba/Ca,ln(Ba/Ca),ln(Ba/Ca) predicted
U1523,B,5,F,3,36,59.49,144060,121,4620,141419,304,3202,44266,-4280,36139,26299,12289,824,2479,137008,4602,264,965,2124,5332,6100,1132,6398,-100,212817,1359,0.175672079,-1.739136211,1.474292227,1.374158713,0.317841699,0.674831573,0.467280125,-0.760826362,-1.395086953,0.094262139,-2.361675663,-3.306386073,5.209627742,1.650508403,1.017077969,0.231947983,-1.461242144,-4.475283849,0.243279212,-1.413545474,-6.583281312,0.051674969,-2.96278178,-1.562794698
U1523,B,5,F,3,38,59.51,141048,95,3561,122925,294,3269,50303,-4590,34772,25967,12051,793,2126,131450,4444,224,936,2138,5175,6625,1197,6324,253,213359,1662,0.137135595,-1.986785097,1.327436438,1.339084222,0.291985964,0.652352597,0.464089036,-0.767678857,-1.400949262,0.081873147,-2.502584221,-3.448506445,5.062194324,1.62180005,0.991217485,0.255131513,-1.365976129,-4.408264207,0.243539878,-1.412474582,-6.582648735,0.064004313,-2.748804805,-1.469051385
U1523,B,5,F,3,40,59.53,142393,141,3733,125539,307,3559,50317,-4595,35715,26721,11977,595,2470,133613,4439,301,942,1952,5201,6376,1110,6283,81,210952,1499,0.139702855,-1.968237573,1.338435119,1.3365892,0.290120995,0.650731193,0.448224243,-0.802461629,-1.430705924,0.09243666,-2.381231622,-3.326110214,5.00029939,1.609497789,0.980135608,0.238613824,-1.432908832,-4.455351363,0.235133416,-1.4476022,-6.603398619,0.0560982,-2.880651554,-1.526813446
U1523,B,5,F,3,42,59.55,139840,178,4533,140275,416,2754,40269,-3829,35786,25848,12359,858,2050,128495,4431,202,920,2037,5119,6092,962,5667,-103,217479,1563,0.175371402,-1.740849257,1.473276391,1.38447849,0.325323527,0.681336274,0.478141442,-0.737848686,-1.375429551,0.079309811,-2.534393435,-3.480589219,4.971177654,1.603656765,0.974874014,0.235685546,-1.445256793,-4.464038154,0.219243268,-1.517573351,-6.644730579,0.060468895,-2.805626177,-1.493944828
U1523,B,5,F,3,46,59.59,141502,169,3999,135445,407,2909,41816,-4018,36244,27451,12482,965,2360,132248,4515,244,882,2086,5145,6345,1122,6441,-164,215835,1614,0.145677753,-1.926358267,1.363269547,1.3203162,0.277871253,0.640081268,0.454701104,-0.788114991,-1.418432375,0.085971367,-2.453740978,-3.399243151,4.817602273,1.572276351,0.946606537,0.231139121,-1.464735496,-4.477741421,0.234636261,-1.44971879,-6.604648889,0.058795672,-2.833687027,-1.506238287
U1523,B,5,F,3,48,59.61,141836,156,3951,126305,291,3381,49828,-4554,34826,26605,12073,721,2085,130137,4453,310,898,2143,5368,6225,1113,6312,613,506088,4284,0.14850592,-1.907130457,1.374671639,1.309002067,0.269265066,0.632599049,0.453786882,-0.790127614,-1.420154174,0.078368728,-2.546330313,-3.492628753,4.891448976,1.587488574,0.960309707,0.233978575,-1.452525726,-4.469151848,0.237248637,-1.438646585,-6.598108537,0.161022364,-1.826212015,-1.064863484
U1523,B,5,F,3,50,59.63,143867,112,4468,141274,377,3314,43913,-4100,36432,27131,12657,630,2304,132188,4558,254,914,2144,5272,6332,1010,6262,385,211973,1732,0.164682467,-1.803736104,1.43598449,1.342818178,0.294770524,0.654773493,0.466514319,-0.762466564,-1.396490145,0.084921308,-2.466030243,-3.411638103,4.872212598,1.583548166,0.956760188,0.233386163,-1.455060844,-4.470935303,0.230806089,-1.466177363,-6.614370968,0.063838414,-2.751400175,-1.470188417
U1523,B,5,F,3,52,59.65,140687,103,4199,137925,387,3318,43989,-4022,34460,28228,11640,473,2038,127864,4481,255,919,1972,4986,6487,1182,6484,106,209968,1652,0.148753011,-1.905467991,1.375657481,1.2207737,0.199484838,0.571932118,0.412356525,-0.885866951,-1.502059176,0.072197818,-2.628345458,-3.575349229,4.529686836,1.510652806,0.891096048,0.229807284,-1.470514219,-4.481806753,0.229701006,-1.470976789,-6.617205989,0.058523452,-2.838327718,-1.508271373
U1523,B,5,F,3,54,59.67,142569,106,3971,123501,334,3826,53759,-4440,33849,27239,12085,140,2004,131659,4582,342,890,2070,5343,6708,1077,6696,338,209115,1681,0.145783619,-1.925631818,1.363700332,1.242666765,0.217259687,0.587385572,0.443665333,-0.812684756,-1.439451809,0.073570983,-2.609504587,-3.556346326,4.833474063,1.575565477,0.949569382,0.246264547,-1.401348926,-4.433148969,0.245824002,-1.403139437,-6.577134465,0.061712985,-2.785260915,-1.485022807
U1523,B,5,F,3,56,59.69,141887,135,3794,126080,458,3563,50834,-4482,34483,27484,12125,790,2226,131708,4507,310,873,1895,5185,6479,1056,6432,32,212092,1485,0.138043953,-1.980183146,1.331351395,1.254657255,0.226862432,0.595734198,0.441165769,-0.81833458,-1.444285233,0.080992577,-2.513397764,-3.459412985,4.79216999,1.566983334,0.941838587,0.235737156,-1.44503784,-4.46388412,0.23402707,-1.452318485,-6.606184529,0.054031436,-2.918189245,-1.543258708
U1523,B,5,F,3,58,59.71,133478,114,3555,115811,363,3348,50955,-3393,29333,22599,10259,409,1983,114307,4597,324,880,2312,4731,5714,1224,5941,111,218091,1550,0.157307845,-1.849550594,1.408816498,1.297977787,0.260807505,0.625246044,0.45395814,-0.789750288,-1.419831372,0.087747245,-2.433294808,-3.378621143,5.058055666,1.620982154,0.990480724,0.252843046,-1.374986354,-4.4146029,0.262887738,-1.336028188,-6.537491851,0.068587106,-2.679650727,-1.438754983
U1523,B,5,F,3,60,59.73,143750,118,4271,135880,390,3488,47806,-4647,35354,28162,12270,781,2267,131676,4629,335,932,2044,5028,6130,1096,5900,-35,213541,1468,0.151658263,-1.88612556,1.387127543,1.25537959,0.227437989,0.596234587,0.435693488,-0.830816293,-1.454963338,0.080498544,-2.51951618,-3.465584019,4.67566224,1.542370808,0.919667624,0.2176692,-1.524778802,-4.519981887,0.209502166,-1.563021201,-6.671576623,0.05212698,-2.954072621,-1.558979215
U1523,B,5,F,3,62,59.75,135708,116,3949,125907,383,3834,41309,-3724,33210,33889,11181,652,2019,119770,4512,359,872,1871,4835,7424,1116,6918,12,211889,1431,0.116527487,-2.149628096,1.230870539,0.979964,-0.020239443,0.380903829,0.329930066,-1.108874569,-1.692842194,0.059576854,-2.820488139,-3.769144337,3.534185134,1.262482759,0.667544469,0.219068134,-1.518372482,-4.515475041,0.204137036,-1.588963767,-6.686900897,0.042226091,-3.164716977,-1.651262508
U1523,B,5,F,3,64,59.77,140169,127,3847,127733,304,3927,43889,-3888,34730,30053,11980,1079,2138,129560,4543,362,894,2103,5033,6845,1160,6489,108,505805,4393,0.128007187,-2.055668866,1.286588363,1.155625062,0.144641377,0.524251213,0.398629089,-0.919723897,-1.531023794,0.071140984,-2.643091677,-3.590222265,4.311050477,1.461181605,0.84653239,0.227764283,-1.479444031,-4.488088876,0.215918544,-1.532854054,-6.65375689,0.146175091,-1.922950125,-1.10724445
U1523,B,5,F,3,66,59.79,145685,159,3710,123257,359,4914,50265,-4507,34051,28020,11858,785,1902,151208,4562,336,1001,2131,5045,6411,1020,6447,333,207975,1595,0.132405425,-2.021886664,1.306621208,1.215239115,0.19494086,0.567981584,0.423197716,-0.859915796,-1.479857963,0.067880086,-2.690012577,-3.637546685,5.396431121,1.685737831,1.048812639,0.228800857,-1.474903276,-4.484894455,0.230085653,-1.469303635,-6.616217657,0.056923626,-2.866044805,-1.520414229
U1523,B,5,F,3,68,59.81,139344,113,3437,116474,370,4886,46639,-4275,32323,26820,11372,429,2118,140410,4438,292,824,2106,5000,6425,1069,6135,150,212599,1639,0.128150634,-2.05454888,1.287252514,1.205182699,0.186631173,0.560757142,0.424011931,-0.857993684,-1.478213597,0.078970917,-2.538675631,-3.484908241,5.235272185,1.655418836,1.021501288,0.23956003,-1.428951247,-4.452567202,0.228747204,-1.4751378,-6.619663898,0.061111111,-2.795061578,-1.489316477
U1523,B,5,F,3,70,59.83,143784,141,3720,123321,469,4300,50892,-4307,33532,27509,11629,889,2295,140043,4630,324,973,2175,4948,6468,1105,5931,361,212342,1563,0.135228471,-2.000789556,1.319131794,1.218946527,0.197986983,0.570629883,0.422734378,-0.861011246,-1.480795121,0.083427242,-2.48378038,-3.429540892,5.090806645,1.627436294,0.996294614,0.235123051,-1.447646282,-4.465719159,0.215602167,-1.534320391,-6.654623055,0.056817769,-2.867906172,-1.521229694
U1523,B,5,F,3,72,59.85,138691,112,3377,111207,234,4505,51388,-4602,32557,27544,11451,392,1994,132201,4524,249,858,1903,5137,6839,982,6984,60,213245,1600,0.122603834,-2.098796985,1.261013388,1.18199971,0.167207673,0.543870351,0.415734824,-0.877707664,-1.495078906,0.072393262,-2.625642054,-3.572622576,4.799629683,1.568538766,0.94323972,0.248293639,-1.393143204,-4.427376244,0.253557944,-1.372162907,-6.558836629,0.058088876,-2.845781097,-1.511536699
U1523,B,5,F,3,74,59.87,144308,81,4445,146448,407,4596,39623,-3873,36035,30442,12050,642,2125,137282,4444,330,933,1932,5122,6953,983,7215,275,211639,1581,0.146015373,-1.924043365,1.364642285,1.183726431,0.168667455,0.545139485,0.395834702,-0.926758574,-1.53704196,0.069804875,-2.662051431,-3.609345074,4.50962486,1.506213971,0.887097545,0.22840155,-1.476650013,-4.486123284,0.237008081,-1.439661042,-6.598707777,0.051934827,-2.957765676,-1.560597142
