 Spectrum , Sample , Throughput , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Co-Ka Area , Co-Ka AreaStd , Ni-Ka Area , Ni-Ka AreaStd , Cu-Ka Area , Cu-Ka AreaStd , Zn-Ka Area , Zn-Ka AreaStd , Ga-Ka Area , Ga-Ka AreaStd , As-Ka Area , As-Ka AreaStd , Br-Ka Area , Br-Ka AreaStd , Rb-Ka Area , Rb-Ka AreaStd , Sr-Ka Area , Sr-Ka AreaStd , Y -Ka Area , Y -Ka AreaStd , Zr-Ka Area , Zr-Ka AreaStd , Nb-Ka Area , Nb-Ka AreaStd , Mo-Ka Area , Mo-Ka AreaStd , Rh-Ka-Inc Area , Rh-Ka-Inc AreaStd , Rh-Ka-Coh Area , Rh-Ka-Coh AreaStd 
363-U1487A-3H-4-A_SHLF8287831 X 540.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,540,1.47E+05,784,41,72076,256,459,36,1263,45,39291,193,351,50,4770,74,254,30,417,33,42,25,133,27,1938,54,620,57,44990,222,432,81,2524,142,181,132,246,172,47442,554,29250,328
363-U1487A-3H-4-A_SHLF8287831 X 560.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,560,1.45E+05,832,41,74140,259,473,35,1090,43,41199,198,417,53,4679,74,168,30,353,32,59,26,127,28,1841,53,521,57,43796,220,524,79,2547,139,273,130,316,170,47207,548,28950,324
363-U1487A-3H-4-A_SHLF8287831 X 580.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,580,1.47E+05,854,42,72243,256,515,36,1170,44,41796,199,370,52,4828,75,305,32,398,33,45,26,124,27,1888,54,724,58,44241,221,463,80,2729,141,210,133,79,171,48338,557,29231,327
363-U1487A-3H-4-A_SHLF8287831 X 600.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,600,1.47E+05,1007,44,66653,246,797,39,1216,46,51549,220,588,56,4724,74,279,32,487,34,65,26,138,28,1789,53,807,57,43345,219,474,80,2784,141,152,132,529,170,45940,549,29270,326
363-U1487A-3H-4-A_SHLF8287831 X 620.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,620,1.45E+05,842,40,76558,263,498,36,1110,44,40881,197,279,50,4723,74,198,31,414,33,61,25,128,26,1804,52,605,57,44355,221,375,79,2477,139,64,129,392,170,46122,544,29049,323
363-U1487A-3H-4-A_SHLF8287831 X 640.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,640,1.48E+05,963,43,69718,252,498,36,1281,46,43236,203,433,53,4789,75,227,32,407,33,61,26,86,28,1863,54,772,58,44769,222,447,81,2759,142,138,132,284,171,47842,553,29867,328
363-U1487A-3H-4-A_SHLF8287831 X 660.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,660,1.48E+05,910,42,69214,251,541,36,1226,46,39781,194,310,50,4644,74,286,32,459,34,126,27,74,27,1853,53,703,58,45327,223,542,82,3041,144,290,134,409,172,48222,554,30267,328
363-U1487A-3H-4-A_SHLF8287831 X 680.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,680,1.48E+05,991,43,68569,250,502,37,1311,46,41224,198,424,53,4672,74,256,31,420,33,68,26,69,27,1818,54,772,59,45368,223,464,81,3186,144,111,133,240,172,48472,553,29765,329
363-U1487A-3H-4-A_SHLF8287831 X 700.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,700,1.48E+05,1085,43,70562,253,490,37,1341,47,40428,196,397,51,4758,74,243,32,437,34,74,25,110,27,1827,53,730,58,45975,224,440,81,3094,143,243,133,471,172,46725,553,29902,329
363-U1487A-3H-4-A_SHLF8287831 X 720.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,720,1.49E+05,945,43,69119,251,512,36,1336,47,39923,195,352,51,4768,74,266,32,490,34,87,25,101,28,1966,55,696,59,45995,225,749,82,2911,144,159,133,93,172,49936,563,30307,330
