FileName,Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF),Core_ID , Section_ID , Depth , LiveTime , RealTime , MeasurementDate , MeasurementTime , Sample_ID , User_ID,Al_Area,Si_Area,P_Area,S_Area,Cl_Area,Ar_Area,K_Area,Ca_Area,Ti_Area,Cr_Area,Mn_Area,Fe_Area,Rh_Area,Ba_Area
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1200.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,120,33.5,35.27,0,0,1200,15,18,10/22/2015 14:58,,1200,,11642,135900,-603,-1818,71714,-29173,48890,614233,37168,1330,454,483211,52035,-5874
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1220.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,122,33.52,35.29,0,0,1220,15,18,10/22/2015 14:58,,1220,,9464,144863,-1467,-497,56486,-19020,37108,560378,31442,1288,1201,348136,40259,-5241
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1240.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,124,33.54,35.31,0,0,1240,15,18,10/22/2015 14:59,,1240,,8803,116884,-2050,-1541,71761,-29939,38945,748807,28757,697,675,387768,55134,-4354
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1260.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,126,33.56,35.33,0,0,1260,15,18,10/22/2015 14:59,,1260,,6927,112491,-2534,-1049,64456,-35717,29312,819306,29071,1225,969,331975,60042,-5017
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1280.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,128,33.58,35.35,0,0,1280,15,18,10/22/2015 15:00,,1280,,8193,112660,-2050,-851,59276,-35623,34779,590991,31860,1397,574,418016,60063,-4646
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1300.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,130,33.6,35.37,0,0,1300,15,18,10/22/2015 15:00,,1300,,11287,131136,-874,-1241,78582,-22356,49525,596712,38514,1721,841,525189,41018,-6154
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1320.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,132,33.62,35.39,0,0,1320,15,18,10/22/2015 15:00,,1320,,10504,123342,-1068,-855,80852,-19240,48795,586086,38430,1429,291,519655,33880,-5813
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1340.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,134,33.64,35.41,0,0,1340,15,18,10/22/2015 15:01,,1340,,11505,132614,-1278,-979,70075,-30523,47376,589254,38567,1608,1148,517098,48075,-5952
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1360.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,136,33.66,35.43,0,0,1360,15,18,10/22/2015 15:01,,1360,,11962,139019,-584,-1599,58800,-38866,45695,573872,40839,1776,1049,508974,61173,-5868
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1380.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,138,33.68,35.45,0,0,1380,15,18,10/22/2015 15:02,,1380,,9232,122346,-1498,-1336,73446,-24792,44691,679933,33122,1176,728,432841,43568,-5964
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1400.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,140,33.7,35.47,0,0,1400,15,18,10/22/2015 15:02,,1400,,9377,131884,-999,-1201,63755,-27755,40369,585984,42109,1515,907,424160,48729,-6299
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1420.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,142,33.72,35.49,0,0,1420,15,18,10/22/2015 15:03,,1420,,9506,121214,-2086,-985,59425,-29318,38517,637283,29604,2167,702,419036,50381,-5266
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1440.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,144,33.74,35.51,0,0,1440,15,18,10/22/2015 15:03,,1440,,10770,124365,-699,-911,74263,-17306,47792,548186,34278,1453,878,478792,34626,-5389
C:\_XRF Data\__Kulhanek_Oct_2015\U1456C-5H-4\Run 1 at  10kV\U1456C-5H-4 1460.0mm  15s  10kV 800uA No-Filter   0.0mm Run1 Rep0.wax,U1456,C,5,H,4,146,33.76,35.53,0,0,1460,15,18,10/22/2015 15:04,,1460,,9006,108988,-1652,-736,67832,-14575,40158,545044,28998,1489,700,402352,33885,-4965
