Site,Hole,Core,Type,Section,Interval,Depth (CSF-A),Depth (CCSF),Al,Ba,Br,Ca,Cl,Fe,K,Mg,Mn,Si,Sr,Ti,Zr,Cu,Nb,Ni,Rb,Y,Zn
U1456,C,4,H,4,125,24.05,25.52,25323,129,29,181643,13074,26099,7237,10963,421,70747,2890,94,20,7,42,32,32,7966,3577
U1456,C,4,H,5,14,24.44,25.91,51566,266,58,116510,11948,38577,15992,22294,581,125629,612,255,61,20,95,19,85,9077,3891
U1456,C,4,H,5,125,25.55,27.02,16145,196,54,282001,14094,16969,6833,6434,351,45057,4928,1613,65,29,4,33,45,9,38
U1456,C,4,H,6,37,26.17,27.64,19590,127,57,265774,15513,18332,7937,7632,314,52594,5519,1726,66,30,3,33,51,10,41
U1456,C,4,H,6,99,26.79,28.26,17450,115,74,265181,20518,18007,7082,7065,267,44722,5621,1919,66,23,2,32,46,10,36
U1456,C,5,H,2,40,29.7,31.47,32942,93,33,153194,10148,24623,7644,12236,402,95770,2786,4554,99,29,9,32,39,18,35
U1456,C,5,H,2,64,29.94,31.71,13021,87,70,285377,17975,16625,5580,6351,268,34132,6368,1698,60,24,1,35,36,8,31
U1456,C,5,H,3,33,31.13,32.9,36118,184,21,93872,10070,28160,8696,15634,473,122862,594,3769,91,19,12,36,48,24,34
U1456,C,5,H,3,73,31.53,33.3,15917,200,62,269470,15052,16240,7087,7975,598,43944,3569,1365,53,28,3,43,40,11,41
U1456,C,5,H,4,21,32.51,34.28,36638,405,54,161157,12025,29453,11654,18158,1015,95979,917,3056,98,49,12,80,62,25,77
U1456,C,5,H,4,68,32.98,34.75,42974,147,20,77858,7212,27729,10127,15490,466,139531,480,3564,74,18,12,36,57,21,37
U1456,C,5,H,5,49,34.29,36.06,44191,199,57,136839,10556,35434,12227,16868,734,112846,1035,4052,105,46,17,61,70,25,72
U1456,C,5,H,5,103,34.83,36.6,58839,77,61,89595,14299,56728,15411,23209,661,119012,1000,5780,134,58,25,68,95,31,77
